Client ID,Client Name,Address,City,Postcode,Contact Name,Contact Email,Contact Phone,Contract Reference
614,nexussecurity,2 Barton Close Enderby Leicester Leicestershire,Leicester,LE19 1SJ,"",Lee Brown <customer.service@nexussecurity.info>,"",""
615,MAN Commercial Protection,Advest Capital Management Ltd 2 Highlands Court Shirley Solihull West Midlands,Solihull,B90 4LE,"",scott.broadway@mancommercialprotection.co.uk,"",""
616,nexus security,2 Barton Close Enderby Leicester Leicestershire,Leicester,LE19 1SJ,"",customer.service@nexussecurity.info,"",""
617,Luton Estate,53 Hibbert Street Luton Bedfordshire,Luton,LU1 3UU,"",Suhail@poplarestate.co.uk,"",""
618,FAO Megan Lee GSS,Encore Envelopes Ltd Equinox 3 Audby Lane Wetherby West Yorkshire,Wetherby,LS22 7RD,"",megan@gssms.co.uk,"",""
619,First Star Facilities ltd,10a Clements Road Ilford Essex,Ilford,IG1 1BA,"",aliissah@gmail.com,"",""
620,UK FORCE,20 Newington Causeway London,London,SE16DR,"",ukforce@gmail.com,"",""
621,Prime Secure,65 Townsend Street Glasgow,Glasgow,G4 0LA,"",iain.warburton@prime-secure.co.uk,"",""
622,TSS,TSS Total Security Services Ltd The Curve 18 Hickman Avenue London,London,E4 9JG,"",Martin.Leeder@totalsecurity.co.uk,"",""
623,FGH Security,1 Netherton Cottages Eastnor Ledbury Herefordshire,Ledbury, HR8 1EN,"",brendan.hughes@fghsecurity.co.uk,"",""
624,Excellerate Services,11 Knightswick Centre Canvey Island Essex,Canvey Island, SS8 7AD,"",Mike.Armstrong@excellerateservices.com,"",""
625,Grosvenor Security Services,13 Ovington Gardens London,London,SW3 1LE,"",naser@grosvenorsecurity.net,"",""
626,Churchill Support Services,Acorn Developments Ltd Image Business Park Acornfield Road Knowsley Industrial Park Liverpool Merseyside,Liverpool,L33 7UF,"",pcafferty@churchillsupportservices.com,"",""
627,Servo Group,11 Capital House 454 Larkshall Road London,London,E4 9HH,"",andy.haynes@servo-group.co.uk,"",""
628,Test,a,Hyderabad,E174SA,"",comms@guardianfm.co.uk,"",""
629,Korexian LTD,7 Felixstowe Court London,London,E16 2RR,"",korexian2019@gmail.com,"",""
630,Impact Services,13 Waterside Court St Helens Merseyside,St. Helens,WA9 1UA,"",operations@impactservices.org.uk,"",""
631,Ambassador Protection,1000 Hello X Music Llp 27 Old Gloucester Street London Greater London,London,WC1N 3AX,"",hello@ambassadorprotection.co.uk,"",""
632,Traditional Norfolk Poultry Ltd,Acorn Developments Ltd Image Business Park Acornfield Road Knowsley Industrial Park Liverpool Merseyside,Liverpool,L33 7UF,"",sheila.grist@tnpltd.com,"",""
633,Red Support Services,247 Main Road Sidcup Kent,Sidcup,DA14 6QS,"",Kola@redsupportservices.com,"",""
634,ad2000groupltdcouk,Campaign Monitor Uk Ltd Northern And Shell Building 10 Lower Thames Street London,London,EC3R 6EN,"",samantha@ad2000groupltd.co.uk,"",""
635,Key Holding,KH Chichester TE Chapet Street West Sussex Chichester PO19 1AD,Chichester,PO19 1AD,"",platform@keyholding.com,"",""
636,SSGC,19 Red Street Carmarthen Carmarthenshire,Carmarthen,SA31 1QL,"",Julie.hulme@ssgc-net.com,"",""
637,Incentive FM An Atalian Servest Company,Meadlands Social Club Needham Road Stowmarket Suffolk,Stowmarket, IP14 2AD,"",jaime.degouveia@incentive-fm.com,"",""
638,First Response Group FRG,Avalon Book Company Ltd 8 Denmark Street London,London,WC2H 8LS,"",dean@guardianfm.co.uk,"",""
639,Galaxon,19b Mill Lane Woodford Green Essex,Woodford Green,IG8 0UN,"",info@galaxonservices.co.uk,"",""
640,darrell,2P Ventures Ltd 207 Regent Street London,London,W1B 3HH ,"",ahmed.aijaz@guardianfm.co.uk,"",""
641,MPW Security,56 Langley Park Road Iver Buckinghamshire,Iver,SL0 9QS,"",lucy@mpwsecuritysolutions.co.uk,"",""
642,Magnit GRI,"","","","",KANRecruitment@uk.issworld.com,"",""
644,JTR,"",Exeter,"","",JMirko@jtrltd.co.uk,"",""
645,SecuriGroup,25 North Row Mayfair London, London,W1K 6DJ,"",mark.munro@securigroup.co.uk,"",""
646,Alpha Realtors Ltd,"Grosvenor Road, Whittlesey",Cambridgeshire,PE7 1PU,"",Info@alpharealtors.co.uk,"",""
647,Nine Arches,"2 Union Street, Northampton, Northamptonshire, NN1 2EW",NORTHAMTON,NN1 2EW,"",sean.pennington@ninearches.co.uk,"",""
648,INTRASECURE,"",Romford,"","",patrick@intrasecure.co.uk,"",""
649,Emanuel School,alaa.shaith@emanuel.org.uk,London,SW11 1HS,"",www.Emanuel.org.uk,"",""
650,ARUN District Council,Arun District Council 1 Maltravers Road Littlehampton BN17 5LF,Littlehampton UK,BN17 5LF,"",julia.pearman@arun.gov.uk,"",""
651,Security And Event Solutions,"59 North Street, Brighton BN41 1DH","",BN41 1DH,"",office@securityandeventsolutions.co.uk,"",""
652,SES,"","","","","","",""
653,National Health Service UK,Southmead Hospital,Bristol,BS10 5NB,"",Andy.Smith@nbt.nhs.uk,"",""
654,ABM Security,ABM UK 3rd Floor Green 14 Pier Walk London SE10 0ES,London,SE10 0ES,"",peter.scott@abm.com,"",""
656,Bridge Security Services,"","","","",gabriel.greenspan@bridgesecurityservices.com,"",""
657,Churchill Group,"",London,"","",cleaning@guardianfm.co.uk,"",""
658,Balham Bowls Club," 7â€‘9 Ramsden Road , London ,SW12 8QX",London,SW12 8QX,"",contact@balhambowlsclub.co.uk,"",""
659,SEECLEAR SERVICES GROUP LIMITED,Turners Bicker Bar Farm Bicker Boston Lincolnshire , Boston,PE20 3AN,"",MarkEdgley@seecleargroup.co.uk,"",""
