Date,VAT Quarter,Quarter Number (HMRC),Supplier Name,Description / Memo, Gross Amount (£) , VAT (£) , Net Amount (£) ,Notes
06/05/2021,1. May'21 to July'21,Q3 - 2021,Bank Charges,********************** COMMISSION FOR       , 6.50 ,, 6.50 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,Bank Charges,********************** COMMISSION FOR       , 6.50 ,, 6.50 ,
05/07/2021,1. May'21 to July'21,Q3 - 2021,Bank Charges,********************** COMMISSION FOR       , 6.50 ,, 6.50 ,
10/05/2021,1. May'21 to July'21,Q3 - 2021,CLOUDWAYSLTD,CloudwaysLTD          MALTA                 , 32.85 ,, 32.85 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,CLOUDWAYSLTD,CloudwaysLTD          MALTA                 , 53.18 ,, 53.18 ,
12/07/2021,1. May'21 to July'21,Q3 - 2021,CLOUDWAYSLTD,CloudwaysLTD          MALTA                 , 77.09 ,, 77.09 ,
31/07/2021,1. May'21 to July'21,Q3 - 2021,Credit Invoice -Supplier,," 150,000.00 "," 25,000.00 "," 125,000.00 ",
24/05/2021,1. May'21 to July'21,Q3 - 2021,EE LIMITED,EE LIMITED            Q75528830224465728 DDR, 29.41 , 4.90 , 24.51 ,
24/06/2021,1. May'21 to July'21,Q3 - 2021,EE LIMITED,EE LIMITED            Q75528830232787293 DDR, 31.49 , 5.25 , 26.24 ,
26/07/2021,1. May'21 to July'21,Q3 - 2021,EE LIMITED,EE LIMITED            Q75528830241322161 DDR, 37.32 , 6.22 , 31.10 ,
15/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *Q3KJL6PRY2    IRELAND               , 0.94 ,, 0.94 ,
16/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *N6LT86PQY2    IRELAND               , 1.41 ,, 1.41 ,
16/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *NEZW963RY2    IRELAND               , 0.94 ,, 0.94 ,
16/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *PK4VM5TRY2    IRELAND               , 1.41 ,, 1.41 ,
16/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *WYZ796BRY2    IRELAND               , 0.94 ,, 0.94 ,
19/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *7JNAN5TRY2    IRELAND               , 2.34 ,, 2.34 ,
19/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *9LKWN5TRY2    IRELAND               , 3.50 ,, 3.50 ,
19/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *M3DS96KRY2    IRELAND               , 4.68 ,, 4.68 ,
20/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *3GKTQ5TRY2    IRELAND               , 7.03 ,, 7.03 ,
22/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *3KVPR6PRY2    IRELAND               , 7.06 ,, 7.06 ,
26/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *UD7VT6PRY2    IRELAND               , 11.55 ,, 11.55 ,
28/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *YKC6X6PRY2    IRELAND               , 18.53 ,, 18.53 ,
30/07/2021,1. May'21 to July'21,Q3 - 2021,FACEBOOK,FACEBK *3AJBM6BRY2    IRELAND               , 6.10 ,, 6.10 ,
10/06/2021,1. May'21 to July'21,Q3 - 2021,First4Freelancers Ltd,FIRST4FREELANCERS     7759               BBP," 3,286.04 ", 547.67 ," 2,738.37 ",
11/06/2021,1. May'21 to July'21,Q3 - 2021,First4Freelancers Ltd,FIRST4FREELANCERS     GUARDIANFM         BBP," 30,000.00 "," 5,000.00 "," 25,000.00 ",
28/06/2021,1. May'21 to July'21,Q3 - 2021,First4Freelancers Ltd,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 "," 3,333.33 "," 16,666.67 ",
09/07/2021,1. May'21 to July'21,Q3 - 2021,First4Freelancers Ltd,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 ",
13/07/2021,1. May'21 to July'21,Q3 - 2021,First4Freelancers Ltd,FIRST4FREELANCERS     GUARDIANFM         FT ," 15,804.74 "," 2,634.12 "," 13,170.62 ",
04/05/2021,1. May'21 to July'21,Q3 - 2021,FORMATIONSCOMPANY,FORMATIONSCOMPANY     ON 30 APR          BDC, 17.99 ,, 17.99 ,
01/06/2021,1. May'21 to July'21,Q3 - 2021,FORMATIONSCOMPANY,FORMATIONSCOMPANY     ON 30 MAY          BDC, 17.99 ,, 17.99 ,
01/07/2021,1. May'21 to July'21,Q3 - 2021,FORMATIONSCOMPANY,FORMATIONSCOMPANY     ON 30 JUN          BDC, 17.99 ,, 17.99 ,
24/05/2021,1. May'21 to July'21,Q3 - 2021,GETADDRESS.IO,GETADDRESS.IO         ON 22 MAY          BDC, 14.40 , 2.40 , 12.00 ,
23/06/2021,1. May'21 to July'21,Q3 - 2021,GETADDRESS.IO,GETADDRESS.IO         ON 22 JUN          BDC, 14.40 , 2.40 , 12.00 ,
23/07/2021,1. May'21 to July'21,Q3 - 2021,GETADDRESS.IO,GETADDRESS.IO         ON 22 JUL          BDC, 14.40 , 2.40 , 12.00 ,
03/06/2021,1. May'21 to July'21,Q3 - 2021,GODADDY,DNH*GO DADDY EUROP    ON 01 JUN          BDC, 17.12 , 2.85 , 14.27 ,
16/06/2021,1. May'21 to July'21,Q3 - 2021,GODADDY,DNH*GODADDY.COM EU    ON 15 JUN          BDC, 59.88 , 9.98 , 49.90 ,
05/07/2021,1. May'21 to July'21,Q3 - 2021,GODADDY,DNH*GO DADDY EUROP    ON 03 JUL          BDC, 17.88 , 2.98 , 14.90 ,
01/06/2021,1. May'21 to July'21,Q3 - 2021,GOOGLE,GOOGLE *Google Sto    ON 28 MAY          BDC, 1.59 ,, 1.59 ,
29/06/2021,1. May'21 to July'21,Q3 - 2021,GOOGLE,GOOGLE *Google Sto    ON 28 JUN          BDC, 1.59 ,, 1.59 ,
29/07/2021,1. May'21 to July'21,Q3 - 2021,GOOGLE,GOOGLE *Google Sto    ON 28 JUL          BDC, 1.59 ,, 1.59 ,
04/05/2021,1. May'21 to July'21,Q3 - 2021,INTUIT LIMITED,INTUIT LIMITED        00017NGNU0O4Q-00RT DDR, 7.20 , 1.20 , 6.00 ,
03/06/2021,1. May'21 to July'21,Q3 - 2021,INTUIT LIMITED,INTUIT LIMITED        00017NGNU0O4Q-00RT DDR, 7.20 , 1.20 , 6.00 ,
05/07/2021,1. May'21 to July'21,Q3 - 2021,INTUIT LIMITED,INTUIT LIMITED        00017NGNU0O4Q-00RT DDR, 7.20 , 1.20 , 6.00 ,
10/05/2021,1. May'21 to July'21,Q3 - 2021,IONOS CLOUD LIMITED,1 AND 1 IONOS LTD     ON 08 MAY          BDC, 1.20 , 0.20 , 1.00 ,
10/06/2021,1. May'21 to July'21,Q3 - 2021,IONOS CLOUD LIMITED,1 AND 1 IONOS LTD     ON 08 JUN          BDC, 1.20 , 0.20 , 1.00 ,
12/07/2021,1. May'21 to July'21,Q3 - 2021,IONOS CLOUD LIMITED,1 AND 1 IONOS LTD     ON 08 JUL          BDC, 1.20 , 0.20 , 1.00 ,
04/05/2021,1. May'21 to July'21,Q3 - 2021,LEX AUTOLEASE LIMITED,LEX AUTOLEASE         817200V00365155    DDR, 954.54 , 159.09 , 795.45 ,
01/06/2021,1. May'21 to July'21,Q3 - 2021,LEX AUTOLEASE LIMITED,LEX AUTOLEASE         817200V00365155    DDR, 954.54 , 159.09 , 795.45 ,
01/07/2021,1. May'21 to July'21,Q3 - 2021,LEX AUTOLEASE LIMITED,LEX AUTOLEASE         817200V00365155    DDR, 954.54 , 159.09 , 795.45 ,
06/05/2021,1. May'21 to July'21,Q3 - 2021,LINKEDIN LTD,LINKEDIN-638*18179    IRELAND               , 69.98 ,, 69.98 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,LINKEDIN LTD,LinkedIn 648075941    IRELAND               , 69.98 ,, 69.98 ,
06/07/2021,1. May'21 to July'21,Q3 - 2021,LINKEDIN LTD,LinkedIn 658505081    IRELAND               , 69.98 ,, 69.98 ,
04/05/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE UK LTD     ON 30 APR          BDC, 15.00 , 2.50 , 12.50 ,
17/05/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE UK LTD     ON 14 MAY          BDC, 10.00 , 1.67 , 8.33 ,
01/06/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE            ON 29 MAY          BDC, 10.00 , 1.67 , 8.33 ,
02/06/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE UK LTD     ON 30 MAY          BDC, 15.00 , 2.50 , 12.50 ,
14/06/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE            ON 13 JUN          BDC, 10.00 , 1.67 , 8.33 ,
28/06/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE            ON 27 JUN          BDC, 10.00 , 1.67 , 8.33 ,
30/06/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE            ON 29 JUN          BDC, 15.00 , 2.50 , 12.50 ,
14/07/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE            ON 13 JUL          BDC, 10.00 , 1.67 , 8.33 ,
29/07/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE UK LTD     ON 27 JUL          BDC, 10.00 , 1.67 , 8.33 ,
30/07/2021,1. May'21 to July'21,Q3 - 2021,LYCAMOBILE,LYCAMOBILE            ON 29 JUL          BDC, 15.00 , 2.50 , 12.50 ,
09/07/2021,1. May'21 to July'21,Q3 - 2021,LYRECO,LYRECO UK LTD         ON 08 JUL          BDC, 135.94 , 22.66 , 113.28 ,
27/05/2021,1. May'21 to July'21,Q3 - 2021,MICROSOFT LIMITED,PAYPAL *MICROSOFT     ON 26 MAY          BDC, 10.99 ,, 10.99 ,
28/06/2021,1. May'21 to July'21,Q3 - 2021,MICROSOFT LIMITED,PAYPAL *MICROSOFT     ON 26 JUN          BDC, 10.99 ,, 10.99 ,
17/05/2021,1. May'21 to July'21,Q3 - 2021,MICROSOFT LIMITED,MSFT * E0300EIZ0N     IRELAND               , 11.28 ,, 11.28 ,
18/06/2021,1. May'21 to July'21,Q3 - 2021,MICROSOFT LIMITED,MSFT * E0300EUMYQ     IRELAND               , 11.28 ,, 11.28 ,
16/07/2021,1. May'21 to July'21,Q3 - 2021,MICROSOFT LIMITED,MSFT * E0300F6HW3     IRELAND               , 11.28 ,, 11.28 ,
05/05/2021,1. May'21 to July'21,Q3 - 2021,MMBA ACCOUNTANTS LIMITED,GOCARDLESS            TZACO-X8QDNZZVJHKS DDR, 400.00 ,, 400.00 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,MMBA ACCOUNTANTS LIMITED,GOCARDLESS            TZACO-X8QDNZZVJHKS DDR, 400.00 ,, 400.00 ,
05/07/2021,1. May'21 to July'21,Q3 - 2021,MMBA ACCOUNTANTS LIMITED,GOCARDLESS            TZACO-X8QDNZZVJHKS DDR, 400.00 ,, 400.00 ,
06/05/2021,1. May'21 to July'21,Q3 - 2021,MONEYSOFT LTD,MONEYSOFT LTD         ON 05 MAY          BDC, 177.60 , 29.60 , 148.00 ,
12/05/2021,1. May'21 to July'21,Q3 - 2021,MOUNTPACE LTD,MOUNT PACE            79 HOE STREET      STO," 1,458.33 ",," 1,458.33 ",
14/06/2021,1. May'21 to July'21,Q3 - 2021,MOUNTPACE LTD,MOUNT PACE            79 HOE STREET      STO," 1,458.33 ",," 1,458.33 ",
12/07/2021,1. May'21 to July'21,Q3 - 2021,MOUNTPACE LTD,MOUNT PACE            79 HOE STREET      STO," 1,458.33 ",," 1,458.33 ",
12/05/2021,1. May'21 to July'21,Q3 - 2021,NAME-CHEAP.COM,NAME-CHEAP.COM        USA                   , 16.57 ,, 16.57 ,
07/06/2021,1. May'21 to July'21,Q3 - 2021,NAME-CHEAP.COM,NAME-CHEAP.COM        USA                   , 6.99 ,, 6.99 ,
28/06/2021,1. May'21 to July'21,Q3 - 2021,NAME-CHEAP.COM,NAME-CHEAP.COM        USA                   , 25.11 ,, 25.11 ,
30/06/2021,1. May'21 to July'21,Q3 - 2021,One.com,One.com               DENMARK               , 23.51 ,, 23.51 ,
10/05/2021,1. May'21 to July'21,Q3 - 2021,OPUS ENERGY LTD,OPUS ENERGY GAS SU    0890504            DDR, 226.61 , 37.77 , 188.84 ,
01/06/2021,1. May'21 to July'21,Q3 - 2021,OPUS ENERGY LTD,OPUS ENERGY LTD       0890104            DDR, 132.34 , 22.06 , 110.28 ,
09/06/2021,1. May'21 to July'21,Q3 - 2021,OPUS ENERGY LTD,OPUS ENERGY GAS SU    0890504            DDR, 237.46 , 39.58 , 197.88 ,
29/06/2021,1. May'21 to July'21,Q3 - 2021,OPUS ENERGY LTD,OPUS ENERGY LTD       0890104            DDR, 74.52 , 12.42 , 62.10 ,
09/07/2021,1. May'21 to July'21,Q3 - 2021,OPUS ENERGY LTD,OPUS ENERGY GAS SU    0890504            DDR, 104.40 , 17.40 , 87.00 ,
29/07/2021,1. May'21 to July'21,Q3 - 2021,OPUS ENERGY LTD,OPUS ENERGY LTD       0890104            DDR, 72.06 , 12.01 , 60.05 ,
04/05/2021,1. May'21 to July'21,Q3 - 2021,PROPERTYDATA,PROPERTYDATA          ON 03 MAY          BDC, 52.80 ,, 52.80 ,
04/06/2021,1. May'21 to July'21,Q3 - 2021,PROPERTYDATA,PROPERTYDATA          ON 03 JUN          BDC, 52.80 ,, 52.80 ,
05/07/2021,1. May'21 to July'21,Q3 - 2021,PROPERTYDATA,PROPERTYDATA          ON 03 JUL          BDC, 52.80 ,, 52.80 ,
04/05/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            FT ," 6,258.50 "," 1,043.08 "," 5,215.42 ",
17/05/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE BRANDING    PAYMENT            FT ," 20,508.80 "," 3,418.13 "," 17,090.67 ",
10/06/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            BBP," 27,500.25 "," 4,583.38 "," 22,916.88 ",
30/06/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            FT ," 34,580.80 "," 5,763.47 "," 28,817.33 ",
08/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            BBP," 49,567.45 "," 8,261.24 "," 41,306.21 ",
12/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            FT ," 9,658.80 "," 1,609.80 "," 8,049.00 ",
15/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            FT ," 32,580.80 "," 5,430.13 "," 27,150.67 ",
20/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE             INVOICE            BBP," 35,565.00 "," 5,927.50 "," 29,637.50 ",
23/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE BRANDING    PAYMENT            FT ," 15,500.80 "," 2,583.47 "," 12,917.33 ",
26/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE BRANDING    PAYMENT            FT ," 35,805.80 "," 5,967.63 "," 29,838.17 ",
26/07/2021,1. May'21 to July'21,Q3 - 2021,Red Apple Branding and Marketing Consultancy Ltd,RED APPLE BRANDING    PAYMENT            FT ," 15,080.58 "," 2,513.43 "," 12,567.15 ",
22/07/2021,1. May'21 to July'21,Q3 - 2021,SDN Security Solutions Ltd ,SDN SECURITY SOLUT    INVOICE            BBP, 920.00 ,, 920.00 ,
23/07/2021,1. May'21 to July'21,Q3 - 2021,SDN Security Solutions Ltd ,SDN SECURITY SOLUT    INVOICE            FT ," 6,850.45 "," 1,141.74 "," 5,708.71 ",
26/07/2021,1. May'21 to July'21,Q3 - 2021,SDN Security Solutions Ltd ,SDN SECURITY SOLUT    INVOICE            FT ," 11,415.00 "," 1,902.50 "," 9,512.50 ",
29/07/2021,1. May'21 to July'21,Q3 - 2021,SDN Security Solutions Ltd ,SDN SECURITY SOLUT    INVOICE            BBP," 8,000.00 "," 1,333.33 "," 6,666.67 ",
24/05/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,PAYPAL *SHOPIFY       IRELAND               , 104.00 ,, 104.00 ,
24/05/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,SHOPIFY* 109733321    IRELAND               , 21.07 ,, 21.07 ,
21/06/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,PAYPAL *SHOPIFY       IRELAND               , 106.33 ,, 106.33 ,
21/06/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,SHOPIFY* 112314799    IRELAND               , 21.61 ,, 21.61 ,
30/06/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,SHOPIFY* 113140220    IRELAND               , 26.00 ,, 26.00 ,
20/07/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,PAYPAL *SHOPIFY       IRELAND               , 106.58 ,, 106.58 ,
21/07/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,SHOPIFY* 114979535    IRELAND               , 21.96 ,, 21.96 ,
30/07/2021,1. May'21 to July'21,Q3 - 2021,SHOPIFY,SHOPIFY* 115735750    IRELAND               , 25.84 ,, 25.84 ,
04/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 15,408.58 "," 2,568.10 "," 12,840.48 ",
04/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 15,808.90 "," 2,634.82 "," 13,174.08 ",
10/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 49,500.80 "," 8,250.13 "," 41,250.67 ",
11/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 5,208.80 ", 868.13 ," 4,340.67 ",
17/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            BBP," 49,450.67 "," 8,241.78 "," 41,208.89 ",
17/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 8,050.80 "," 1,341.80 "," 6,709.00 ",
19/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 26,508.80 "," 4,418.13 "," 22,090.67 ",
24/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 13,580.50 "," 2,263.42 "," 11,317.08 ",
24/05/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 3,850.80 ", 641.80 ," 3,209.00 ",
01/06/2021,1. May'21 to July'21,Q3 - 2021,SILICON MANAGEMENT CONSULTANTS LTD,SILCON MANAGEMNET     INVOICE            FT ," 27,500.80 "," 4,583.47 "," 22,917.33 ",
