Invoice Number,Supplier,Period Start,Period End,Subtotal,VAT Rate,VAT Amount,Total Amount,Status,Date Generated
"SBI-GUA-202401-0571","RADLEIGH SECURITY & FM LIMITED","2024-01-01","2024-01-31","2061.72","20.00","412.34","2474.06","paid","2026-06-16"
"SBI-GUA-202401-0572","CAPITAL PROTECTIONS LTD","2024-01-01","2024-01-31","2481.93","20.00","496.39","2978.32","paid","2026-06-16"
"SBI-GUA-202401-0573","RKFM LTD","2024-01-01","2024-01-31","828.00","20.00","165.60","993.60","paid","2026-06-16"
"SBI-GUA-202401-0574","FAB 4 Security","2024-01-01","2024-01-31","5554.74","20.00","1110.95","6665.69","paid","2026-06-16"
"SBI-GUA-202401-0575","A2Z SECURITY SERVICES LTD.","2024-01-01","2024-01-31","1026.72","20.00","205.34","1232.06","paid","2026-06-16"
"SBI-NV-202401-0198","SEQURE24 SECURITY LIMITED","2024-01-01","2024-01-31","8073.01","0.00","0.00","8073.01","paid","2026-06-16"
"SBI-NV-202401-0199","WG Associates One Ltd","2024-01-01","2024-01-31","2447.52","0.00","0.00","2447.52","paid","2026-06-16"
"SBI-NV-202401-0200","XTENSIBLE LOGIX LTD","2024-01-01","2024-01-31","3569.50","0.00","0.00","3569.50","paid","2026-06-16"
"SBI-GUA-202312-0557","XTREME PROFESSIONAL CLEANING LTD","2023-12-01","2023-12-31","41666.56","20.00","8333.31","49999.87","paid","2026-06-16"
"SBI-GUA-202312-0558","FAB 4 Security","2023-12-01","2023-12-31","7525.34","20.00","1505.07","9030.41","paid","2026-06-16"
"SBI-GUA-202312-0559","FIRST4FREELANCERS LIMITED","2023-12-01","2023-12-31","88412.88","20.00","17682.58","106095.46","paid","2026-06-16"
"SBI-GUA-202312-0560","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-12-01","2023-12-31","4316.07","20.00","863.21","5179.28","paid","2026-06-16"
"SBI-GUA-202312-0561","REFINE SECURITY SERVICES LTD","2023-12-01","2023-12-31","24081.72","20.00","4816.34","28898.06","paid","2026-06-16"
"SBI-GUA-202312-0562","RADLEIGH SECURITY & FM LIMITED","2023-12-01","2023-12-31","2061.72","20.00","412.34","2474.06","paid","2026-06-16"
"SBI-GUA-202312-0563","VITAL GUARDING FM LTD","2023-12-01","2023-12-31","3525.36","20.00","705.07","4230.43","paid","2026-06-16"
"SBI-GUA-202312-0564","RKFM LTD","2023-12-01","2023-12-31","1495.92","20.00","299.18","1795.10","paid","2026-06-16"
"SBI-GUA-202312-0565","CAPITAL PROTECTIONS LTD","2023-12-01","2023-12-31","308.00","20.00","61.60","369.60","paid","2026-06-16"
"SBI-GUA-202312-0621","A2Z SECURITY SERVICES LTD.","2023-12-01","2023-12-31","1439.16","20.00","287.83","1726.99","paid","2026-06-29"
"SBI-NV-202312-0195","SEQURE24 SECURITY LIMITED","2023-12-01","2023-12-31","10423.16","0.00","0.00","10423.16","paid","2026-06-16"
"SBI-NV-202312-0196","XTENSIBLE LOGIX LTD","2023-12-01","2023-12-31","2398.00","0.00","0.00","2398.00","paid","2026-06-16"
"SBI-NV-202312-0197","WG Associates One Ltd","2023-12-01","2023-12-31","3886.56","0.00","0.00","3886.56","paid","2026-06-16"
"SBI-GUA-202311-0546","XTREME PROFESSIONAL CLEANING LTD","2023-11-01","2023-11-30","18333.17","20.00","3666.63","21999.80","paid","2026-06-16"
"SBI-GUA-202311-0547","FIRST4FREELANCERS LIMITED","2023-11-01","2023-11-30","75659.50","20.00","15131.90","90791.40","paid","2026-06-16"
"SBI-GUA-202311-0548","RADLEIGH SECURITY & FM LIMITED","2023-11-01","2023-11-30","3579.49","20.00","715.90","4295.39","paid","2026-06-16"
"SBI-GUA-202311-0549","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-11-01","2023-11-30","6963.37","20.00","1392.67","8356.04","paid","2026-06-16"
"SBI-GUA-202311-0550","FAB 4 Security","2023-11-01","2023-11-30","8798.70","20.00","1759.74","10558.44","paid","2026-06-16"
"SBI-GUA-202311-0551","MOXIE SECURITY LTD","2023-11-01","2023-11-30","3416.38","20.00","683.28","4099.66","paid","2026-06-16"
"SBI-GUA-202311-0552","VITAL GUARDING FM LTD","2023-11-01","2023-11-30","7851.60","20.00","1570.32","9421.92","paid","2026-06-16"
"SBI-GUA-202311-0553","A2Z SECURITY SERVICES LTD.","2023-11-01","2023-11-30","3742.32","20.00","748.46","4490.78","paid","2026-06-16"
"SBI-GUA-202311-0554","CAPITAL PROTECTIONS LTD","2023-11-01","2023-11-30","539.00","20.00","107.80","646.80","paid","2026-06-16"
"SBI-GUA-202311-0555","COMPLIANCE SECURITY SERVICES LTD","2023-11-01","2023-11-30","99.00","20.00","19.80","118.80","paid","2026-06-16"
"SBI-GUA-202311-0556","RIA SECURITY LTD","2023-11-01","2023-11-30","516.00","20.00","103.20","619.20","paid","2026-06-16"
"SBI-NV-202311-0192","SEQURE24 SECURITY LIMITED","2023-11-01","2023-11-30","10490.48","0.00","0.00","10490.48","paid","2026-06-16"
"SBI-NV-202311-0193","WG Associates One Ltd","2023-11-01","2023-11-30","3092.28","0.00","0.00","3092.28","paid","2026-06-16"
"SBI-NV-202311-0194","XTENSIBLE LOGIX LTD","2023-11-01","2023-11-30","2178.00","0.00","0.00","2178.00","paid","2026-06-16"
"SBI-GUA-202310-0536","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-10-01","2023-10-31","10789.88","20.00","2157.98","12947.86","paid","2026-06-16"
"SBI-GUA-202310-0538","RADLEIGH SECURITY & FM LIMITED","2023-10-01","2023-10-31","5777.37","20.00","1155.47","6932.84","paid","2026-06-16"
"SBI-GUA-202310-0539","FAB 4 Security","2023-10-01","2023-10-31","16157.52","20.00","3231.50","19389.02","paid","2026-06-16"
"SBI-GUA-202310-0540","CAPITAL PROTECTIONS LTD","2023-10-01","2023-10-31","2442.00","20.00","488.40","2930.40","paid","2026-06-16"
"SBI-GUA-202310-0541","VITAL GUARDING FM LTD","2023-10-01","2023-10-31","7471.56","20.00","1494.31","8965.87","paid","2026-06-16"
"SBI-GUA-202310-0542","XTREME PROFESSIONAL CLEANING LTD","2023-10-01","2023-10-31","17499.28","20.00","3499.86","20999.14","paid","2026-06-16"
"SBI-GUA-202310-0543","A2Z SECURITY SERVICES LTD.","2023-10-01","2023-10-31","2738.40","20.00","547.68","3286.08","paid","2026-06-16"
"SBI-GUA-202310-0544","COMPLIANCE SECURITY SERVICES LTD","2023-10-01","2023-10-31","1133.00","20.00","226.60","1359.60","paid","2026-06-16"
"SBI-GUA-202310-0545","RIA SECURITY LTD","2023-10-01","2023-10-31","128.88","20.00","25.78","154.66","paid","2026-06-16"
"SBI-GUA-202310-0647","FIRST4FREELANCERS LIMITED","2023-10-01","2023-10-31","88812.88","20.00","17762.58","106575.46","paid","2023-11-02"
"SBI-NV-202310-0189","SEQURE24 SECURITY LIMITED","2023-10-01","2023-10-31","7717.38","0.00","0.00","7717.38","paid","2026-06-16"
"SBI-NV-202310-0190","WG Associates One Ltd","2023-10-01","2023-10-31","4863.72","0.00","0.00","4863.72","paid","2026-06-16"
"SBI-NV-202310-0191","XTENSIBLE LOGIX LTD","2023-10-01","2023-10-31","3003.55","0.00","0.00","3003.55","paid","2026-06-16"
"SBI-GUA-202309-0520","PRINCIPAL PROTECTION AND EVENTS LIMITED","2023-09-01","2023-09-30","14158.34","20.00","2831.67","16990.01","paid","2026-06-16"
"SBI-GUA-202309-0521","FAB 4 Security","2023-09-01","2023-09-30","10346.90","20.00","2069.38","12416.28","paid","2026-06-16"
"SBI-GUA-202309-0522","XTREME PROFESSIONAL CLEANING LTD","2023-09-01","2023-09-30","43486.52","20.00","8697.30","52183.82","paid","2026-06-16"
"SBI-GUA-202309-0523","SILICON MANAGEMENT CONSULTANTS LTD","2023-09-01","2023-09-30","4166.63","20.00","833.33","4999.96","paid","2026-06-16"
"SBI-GUA-202309-0525","VITAL GUARDING FM LTD","2023-09-01","2023-09-30","3568.32","20.00","713.66","4281.98","paid","2026-06-16"
"SBI-GUA-202309-0526","FIRST ALLIED FACILITIES LTD","2023-09-01","2023-09-30","8576.52","20.00","1715.30","10291.82","paid","2026-06-16"
"SBI-GUA-202309-0527","CAPITAL PROTECTIONS LTD","2023-09-01","2023-09-30","2029.83","20.00","405.97","2435.80","paid","2026-06-16"
"SBI-GUA-202309-0528","MOXIE SECURITY LTD","2023-09-01","2023-09-30","2317.88","20.00","463.58","2781.46","paid","2026-06-16"
"SBI-GUA-202309-0529","COMPLIANCE SECURITY SERVICES LTD","2023-09-01","2023-09-30","1185.91","20.00","237.18","1423.09","paid","2026-06-16"
"SBI-GUA-202309-0530","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-09-01","2023-09-30","7452.35","20.00","1490.47","8942.82","paid","2026-06-16"
"SBI-GUA-202309-0531","FIRST CHOICE FM LTD","2023-09-01","2023-09-30","4410.63","20.00","882.13","5292.76","paid","2026-06-16"
"SBI-GUA-202309-0532","RADLEIGH SECURITY & FM LIMITED","2023-09-01","2023-09-30","3425.05","20.00","685.01","4110.06","paid","2026-06-16"
"SBI-GUA-202309-0533","RIA SECURITY LTD","2023-09-01","2023-09-30","1113.88","20.00","222.78","1336.66","paid","2026-06-16"
"SBI-GUA-202309-0534","A2Z SECURITY SERVICES LTD.","2023-09-01","2023-09-30","2034.60","20.00","406.92","2441.52","paid","2026-06-16"
"SBI-GUA-202309-0535","RKFM LTD","2023-09-01","2023-09-30","747.12","20.00","149.42","896.54","paid","2026-06-16"
"SBI-GUA-202309-0646","FIRST4FREELANCERS LIMITED","2023-09-01","2023-09-30","81066.00","20.00","16213.20","97279.20","paid","2023-10-03"
"SBI-NV-202309-0186","MUGHAL  MULTIPLE  SERVICES LTD","2023-09-01","2023-09-30","9589.88","0.00","0.00","9589.88","paid","2026-06-16"
"SBI-NV-202309-0187","SEQURE24 SECURITY LIMITED","2023-09-01","2023-09-30","9595.41","0.00","0.00","9595.41","paid","2026-06-16"
"SBI-NV-202309-0188","WG Associates One Ltd","2023-09-01","2023-09-30","415.80","0.00","0.00","415.80","paid","2026-06-16"
"SBI-GUA-202308-0510","PRINCIPAL PROTECTION AND EVENTS LIMITED","2023-08-01","2023-08-31","15590.12","20.00","3118.02","18708.14","paid","2026-06-16"
"SBI-GUA-202308-0511","FIRST4FREELANCERS LIMITED","2023-08-01","2023-08-31","94759.13","20.00","18951.83","113710.96","paid","2026-06-16"
"SBI-GUA-202308-0512","REFINE SECURITY SERVICES LTD","2023-08-01","2023-08-31","23516.16","20.00","4703.23","28219.39","paid","2026-06-16"
"SBI-GUA-202308-0513","FAB 4 Security","2023-08-01","2023-08-31","17419.87","20.00","3483.97","20903.84","paid","2026-06-16"
"SBI-GUA-202308-0514","VITAL GUARDING FM LTD","2023-08-01","2023-08-31","4739.76","20.00","947.95","5687.71","paid","2026-06-16"
"SBI-GUA-202308-0515","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-08-01","2023-08-31","13301.36","20.00","2660.27","15961.63","paid","2026-06-16"
"SBI-GUA-202308-0516","MOXIE SECURITY LTD","2023-08-01","2023-08-31","3731.00","20.00","746.20","4477.20","paid","2026-06-16"
"SBI-GUA-202308-0517","RADLEIGH SECURITY & FM LIMITED","2023-08-01","2023-08-31","5826.02","20.00","1165.20","6991.22","paid","2026-06-16"
"SBI-GUA-202308-0518","CAPITAL PROTECTIONS LTD","2023-08-01","2023-08-31","1531.20","20.00","306.24","1837.44","paid","2026-06-16"
"SBI-GUA-202308-0519","COMPLIANCE SECURITY SERVICES LTD","2023-08-01","2023-08-31","795.96","20.00","159.19","955.15","paid","2026-06-16"
"SBI-NV-202308-0184","SEQURE24 SECURITY LIMITED","2023-08-01","2023-08-31","8722.23","0.00","0.00","8722.23","paid","2026-06-16"
"SBI-NV-202308-0185","MUGHAL  MULTIPLE  SERVICES LTD","2023-08-01","2023-08-31","244.50","0.00","0.00","244.50","paid","2026-06-16"
"SBI-NV-202308-0210","WG Associates One Ltd","2023-08-01","2023-08-31","2162.76","0.00","0.00","2162.76","paid","2026-06-29"
"SBI-GUA-202307-0498","PRINCIPAL PROTECTION AND EVENTS LIMITED","2023-07-01","2023-07-31","18556.72","20.00","3711.34","22268.06","paid","2026-06-16"
"SBI-GUA-202307-0499","FIRST4FREELANCERS LIMITED","2023-07-01","2023-07-31","72789.25","20.00","14557.85","87347.10","paid","2026-06-16"
"SBI-GUA-202307-0500","SECURITY ZONE MIDLANDS LIMITED","2023-07-01","2023-07-31","9110.75","20.00","1822.15","10932.90","paid","2026-06-16"
"SBI-GUA-202307-0501","VITAL GUARDING FM LTD","2023-07-01","2023-07-31","5132.28","20.00","1026.46","6158.74","paid","2026-06-16"
"SBI-GUA-202307-0502","FAB 4 Security","2023-07-01","2023-07-31","9824.44","20.00","1964.89","11789.33","paid","2026-06-16"
"SBI-GUA-202307-0503","CAPITAL PROTECTIONS LTD","2023-07-01","2023-07-31","1600.06","20.00","320.01","1920.07","paid","2026-06-16"
"SBI-GUA-202307-0504","MOXIE SECURITY LTD","2023-07-01","2023-07-31","2673.25","20.00","534.65","3207.90","paid","2026-06-16"
"SBI-GUA-202307-0505","COMPLIANCE SECURITY SERVICES LTD","2023-07-01","2023-07-31","1810.16","20.00","362.03","2172.19","paid","2026-06-16"
"SBI-GUA-202307-0506","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-07-01","2023-07-31","7352.53","20.00","1470.51","8823.04","paid","2026-06-16"
"SBI-GUA-202307-0507","FIRST CHOICE FM LTD","2023-07-01","2023-07-31","4577.88","20.00","915.58","5493.46","paid","2026-06-16"
"SBI-GUA-202307-0508","RADLEIGH SECURITY & FM LIMITED","2023-07-01","2023-07-31","1799.87","20.00","359.97","2159.84","paid","2026-06-16"
"SBI-GUA-202307-0509","A2Z SECURITY SERVICES LTD.","2023-07-01","2023-07-31","175.92","20.00","35.18","211.10","paid","2026-06-16"
"SBI-GUA-202307-0622","FIRST4FREELANCERS LIMITED","2023-07-01","2023-07-31","6654.20","20.00","1330.84","7985.04","paid","2023-08-01"
"SBI-NV-202307-0183","PEACE UK SECURITY LTD","2023-07-01","2023-07-31","4761.50","0.00","0.00","4761.50","paid","2026-06-16"
"SBI-GUA-202306-0481","XTREME PROFESSIONAL CLEANING LTD","2023-06-01","2023-06-30","34090.86","20.00","6818.17","40909.03","paid","2026-06-16"
"SBI-GUA-202306-0482","FIRST4FREELANCERS LIMITED","2023-06-01","2023-06-30","65855.38","20.00","13171.08","79026.46","paid","2026-06-16"
"SBI-GUA-202306-0483","CAPITAL PROTECTIONS LTD","2023-06-01","2023-06-30","3968.03","20.00","793.61","4761.64","paid","2026-06-16"
"SBI-GUA-202306-0484","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-06-01","2023-06-30","8698.72","20.00","1739.74","10438.46","paid","2026-06-16"
"SBI-GUA-202306-0485","REFINE SECURITY SERVICES LTD","2023-06-01","2023-06-30","4407.60","20.00","881.52","5289.12","paid","2026-06-16"
"SBI-GUA-202306-0486","FIRST ALLIED FACILITIES LTD","2023-06-01","2023-06-30","3843.72","20.00","768.74","4612.46","paid","2026-06-16"
"SBI-GUA-202306-0487","COMPLIANCE SECURITY SERVICES LTD","2023-06-01","2023-06-30","1824.68","20.00","364.94","2189.62","paid","2026-06-16"
"SBI-GUA-202306-0488","MOXIE SECURITY LTD","2023-06-01","2023-06-30","2973.25","20.00","594.65","3567.90","paid","2026-06-16"
"SBI-GUA-202306-0489","RADLEIGH SECURITY & FM LIMITED","2023-06-01","2023-06-30","5050.80","20.00","1010.16","6060.96","paid","2026-06-16"
"SBI-GUA-202306-0490","SECURITY ZONE MIDLANDS LIMITED","2023-06-01","2023-06-30","10327.38","20.00","2065.48","12392.86","paid","2026-06-16"
"SBI-GUA-202306-0491","FIRST CHOICE FM LTD","2023-06-01","2023-06-30","2970.00","20.00","594.00","3564.00","paid","2026-06-16"
"SBI-GUA-202306-0495","PRINCIPAL PROTECTION AND EVENTS LIMITED","2023-06-01","2023-06-30","14928.34","20.00","2985.67","17914.01","paid","2026-06-16"
"SBI-GUA-202306-0496","FAB 4 Security","2023-06-01","2023-06-30","8800.24","20.00","1760.05","10560.29","paid","2026-06-16"
"SBI-GUA-202306-0497","VITAL GUARDING FM LTD","2023-06-01","2023-06-30","3945.96","20.00","789.19","4735.15","paid","2026-06-16"
"SBI-NV-202306-0182","PEACE UK SECURITY LTD","2023-06-01","2023-06-30","5886.00","0.00","0.00","5886.00","paid","2026-06-16"
"SBI-GUA-202305-0469","CAPITAL PROTECTIONS LTD","2023-05-01","2023-05-31","8817.93","20.00","1763.59","10581.52","paid","2026-06-16"
"SBI-GUA-202305-0470","FIRST4FREELANCERS LIMITED","2023-05-01","2023-05-31","55936.75","20.00","11187.35","67124.10","paid","2026-06-16"
"SBI-GUA-202305-0471","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-05-01","2023-05-31","16616.12","20.00","3323.22","19939.34","paid","2026-06-16"
"SBI-GUA-202305-0472","REFINE SECURITY SERVICES LTD","2023-05-01","2023-05-31","6091.32","20.00","1218.26","7309.58","paid","2026-06-16"
"SBI-GUA-202305-0473","SECURITY ZONE MIDLANDS LIMITED","2023-05-01","2023-05-31","15978.88","20.00","3195.78","19174.66","paid","2026-06-16"
"SBI-GUA-202305-0474","FIRST CHOICE FM LTD","2023-05-01","2023-05-31","3006.38","20.00","601.28","3607.66","paid","2026-06-16"
"SBI-GUA-202305-0475","RADLEIGH SECURITY & FM LIMITED","2023-05-01","2023-05-31","7675.45","20.00","1535.09","9210.54","paid","2026-06-16"
"SBI-GUA-202305-0476","UK FORCE SERVICES LIMITED","2023-05-01","2023-05-31","883.37","20.00","176.67","1060.04","paid","2026-06-16"
"SBI-GUA-202305-0477","AAGUARD LTD","2023-05-01","2023-05-31","1848.88","20.00","369.78","2218.66","paid","2026-06-16"
"SBI-GUA-202305-0478","MOXIE SECURITY LTD","2023-05-01","2023-05-31","1989.88","20.00","397.98","2387.86","paid","2026-06-16"
"SBI-GUA-202305-0479","COMPLIANCE SECURITY SERVICES LTD","2023-05-01","2023-05-31","3157.77","20.00","631.55","3789.32","paid","2026-06-16"
"SBI-GUA-202305-0492","PRINCIPAL PROTECTION AND EVENTS LIMITED","2023-05-01","2023-05-31","16862.44","20.00","3372.49","20234.93","paid","2026-06-16"
"SBI-GUA-202305-0493","VITAL GUARDING FM LTD","2023-05-01","2023-05-31","4651.68","20.00","930.34","5582.02","paid","2026-06-16"
"SBI-GUA-202305-0494","FAB 4 Security","2023-05-01","2023-05-31","396.72","20.00","79.34","476.06","paid","2026-06-16"
"SBI-NV-202305-0175","PROSEC SOLUTIONS LTD","2023-05-01","2023-05-31","857.63","0.00","0.00","857.63","paid","2026-06-16"
"SBI-NV-202305-0176","MUGHAL  MULTIPLE  SERVICES LTD","2023-05-01","2023-05-31","9999.00","0.00","0.00","9999.00","paid","2026-06-16"
"SBI-NV-202305-0177","PEACE UK SECURITY LTD","2023-05-01","2023-05-31","5489.25","0.00","0.00","5489.25","paid","2026-06-16"
"SBI-GUA-202304-0606","AAGUARD LTD","2023-04-01","2023-04-30","3573.90","20.00","714.78","4288.68","paid","2026-06-29"
"SBI-GUA-202304-0608","CAPITAL PROTECTIONS LTD","2023-04-01","2023-04-30","3245.22","20.00","649.04","3894.26","paid","2026-06-29"
"SBI-GUA-202304-0609","COMPLIANCE SECURITY SERVICES LTD","2023-04-01","2023-04-30","2882.77","20.00","576.55","3459.32","paid","2026-06-29"
"SBI-GUA-202304-0610","FAB 4 Security","2023-04-01","2023-04-30","220.40","20.00","44.08","264.48","paid","2026-06-29"
"SBI-GUA-202304-0611","FIRST CHOICE FM LTD","2023-04-01","2023-04-30","1606.00","20.00","321.20","1927.20","paid","2026-06-29"
"SBI-GUA-202304-0612","FIRST4FREELANCERS LIMITED","2023-04-01","2023-04-30","47587.13","20.00","9517.43","57104.56","paid","2026-06-29"
"SBI-GUA-202304-0613","MOXIE SECURITY LTD","2023-04-01","2023-04-30","2509.75","20.00","501.95","3011.70","paid","2026-06-29"
"SBI-GUA-202304-0614","PRINCIPAL PROTECTION AND EVENTS LIMITED","2023-04-01","2023-04-30","18603.06","20.00","3720.61","22323.67","paid","2026-06-29"
"SBI-GUA-202304-0615","RADLEIGH SECURITY & FM LIMITED","2023-04-01","2023-04-30","12735.91","20.00","2547.18","15283.09","paid","2026-06-29"
"SBI-GUA-202304-0616","REFINE SECURITY SERVICES LTD","2023-04-01","2023-04-30","6205.20","20.00","1241.04","7446.24","paid","2026-06-29"
"SBI-GUA-202304-0617","RIA SECURITY LTD","2023-04-01","2023-04-30","2857.13","20.00","571.43","3428.56","paid","2026-06-29"
"SBI-GUA-202304-0618","RKFM LTD","2023-04-01","2023-04-30","2858.04","20.00","571.61","3429.65","paid","2026-06-29"
"SBI-GUA-202304-0619","SECURE FIRST FM LTD","2023-04-01","2023-04-30","3573.96","20.00","714.79","4288.75","paid","2026-06-29"
"SBI-GUA-202304-0650","SECURITY ZONE MIDLANDS LIMITED","2023-04-01","2023-04-30","17408.25","20.00","3481.65","20889.90","paid","2023-05-03"
"SBI-GUA-202304-0651","ALLIANCE FACILITIES MANAGEMENT LIMITED","2023-04-01","2023-04-30","30063.65","20.00","6012.73","36076.38","paid","2023-05-02"
"SBI-NV-202304-0207","PEACE UK SECURITY LTD","2023-04-01","2023-04-30","4876.00","0.00","0.00","4876.00","paid","2026-06-29"
