Site Name,Address,City,Postcode,Latitude,Longitude,Client Name,Client Contact,Client Email,Client Phone,Contract Reference,Notes
Stonecutter Court is 1 Stonecutter Court EC4A 4TR,Deloitte Touche Stonecutter Court 1 Stonecutter Street London,London, EC4A 4TR,51.515273,-0.10625,Alandale Logistics UK,,control@alandaleuk.com,,,
Warwick Court 1 White Heart Street London EC4M 7DW,Fitness First 1 White Hart Street London,London,EC4M 7DW,51.514281,-0.100526,Alandale Logistics UK,,control@alandaleuk.com,,,
Fulham Football Club Craven Cottage Stevenage Rd SW6 6HH,Fulham Football Club Ltd Craven Cottage Stevenage Road London,London,SW6 6HH,51.4745369,-0.220607474,Alandale Logistics UK,,control@alandaleuk.com,,,
Old Oak Common Railway Depot,Hip Props Ltd Unit 6 Pinnacle House 260 Old Oak Common Lane London,London,NW10 6DX,51.526519,-0.25139,Alandale Logistics UK,,control@alandaleuk.com,,,
1 Sherwood Street London W1f 7BL,Majestic Wine Warehouses 103 Crawford Street London,London, W1F 7BL,51.51042938,-0.135149613,Alandale Logistics UK,,control@alandaleuk.com,,,
Lewisham House 25 Molesworth Street SE13 7HF,Romarc Shipping Agency 29 Molesworth Street London,London,SE13 7HF,51.46241198,-0.012658148,Alandale Logistics UK,,control@alandaleuk.com,,,
Land West of Culham Station Ox14 3BS,Zouch Farm Culham Abingdon Oxfordshire,Abingdon,OX14 3BS,51.652191,-1.241094,Alandale Logistics UK,,control@alandaleuk.com,,,
Poplar Homes Estate Agents LU1 1BW,2 Cumberland Street Luton Bedfordshire,Luton,LU1 3BW,51.8766042,-0.4108604,Alpha Realtors Ltd,,comms@alpharealtors.co.uk,,,
Queenborough Corner Queenborough Rd Minster on Sea Sheerness ME12 3DJ,The Aviator Halfway Minster on Sea Sheerness Kent,Sheerness, ME12 3DJ,51.41400146,0.757667005,Ambassador Protection,,hello@ambassadorprotection.co.uk,,,
Aldi Colchester Magdalen Street CO1 2FJ,1 Bakery Place Magdalen Street Colchester Essex,Colchester,CO1 2FJ,51.88526,0.9087986,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Halfords Chatham Batchelor Street ME4 4BJ,1 Batchelor Street Chatham Kent,Chatham,ME4 4BJ,51.38154984,0.528489411,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Selsdon 232 236 Addington Rd Selsdon South Croydon CR2 8LE United Kingdom,1 Greenlands Addington Road South Croydon Surrey,South Croydon,CR2 8LE,51.34530949,-0.058295448,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk ,8452997399,,
Midcounties Coop Stow GL54 1AF,1 Kings Cottages Kings Arms Lane The Square Stow on the Wold Cheltenham Gloucestershire,Cheltenham,GL54 1AF,51.9298625,-1.7212622,Amberstone Security Ltd,,control@amberstoneguarding.co.uk,,,
Cazoo Westbury BA13 4WD,1 Northgate Industrial Park Westbury Wiltshire,Westbury,BA13 4WD,51.2712324,-2.2099043,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,07485 904375,,
Nationwide Building Society 23 Oxford Street Swansea SA1 3AE,1 Oxford Street Swansea West Glamorgan,Swansea,SA1 3AE,51.61992264,-3.943473339,Amberstone Security Ltd,,Matt.Nuza@amberstone.co.uk,44 (0) 845 299 7399  ,,
Aldi swindon Romsey St 166 SN2 2AS,1 Romsey Street Swindon Wiltshire,Swindon,SN2 2AS,51.56688309,-1.80238235,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Maidstone ME14 1XL,1 Well Road Maidstone Kent,Maidstone,ME14 1XL,51.27951934,0.525446375,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Weston Favell Northampton NN3 3JB,1 Westonia Court 582 592 Wellingborough Road Northampton Northamptonshire,Northampton,NN3 3JB,52.25199757,-0.846630601,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Levi Bristol Cabot CircusBS1 3BF,10 Concorde Street Bristol,Bristol,BS1 3BF,51.458055,-2.587215,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Matalan croydon purley way 271 66 purley way croydon surrey CR0 3JP,10 Recycle Ltd Lombard House 2 Purley Way Croydon Surrey,Croydon,CR0 3JP,51.384227,-0.121726,Amberstone Security Ltd,,controlroom@amberstone.co.uk,07483 459 768,,
Rose Hill Iffley Oxford OX4 4HS,10 Rose Hill Oxford Oxfordshire,Oxford,OX4 4HS,51.73126814,-1.227529108,Amberstone Security Ltd,,robbie.passmore@amberstone.co.uk,,,
Asda Heath Town Supermarket Wolverhampton Rd Heath Town Wolverhampton WV10 0QB United Kingdom,100 Wolverhampton Road Heath Town Wolverhampton West Midlands,Wolverhampton,WV10 0QB,52.592324,-2.106254,Amberstone Security Ltd,,david.evans@amberstone.co.uk,,,
Aldi Herne Bay CT6 5RE,102a Kings Road Herne Bay Kent,Herne Bay,CT6 5RE,51.36971283,1.125088215,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Ravenscourt Centre Leathers Ln Liverpool L26 0TX,104 Leathers Lane Liverpool Merseyside,Liverpool, L26 0TX,53.36118698,-2.830295324,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
levi ashford kimberley way ashford TN24 0SD,106 Ashford Designer Outlet Ashford Kent,Ashford,TN24 0SD,51.1351487,0.875494,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Lewes Road Brighton 40 BN2 3QA,106 Lewes Road Brighton East Sussex,Brighton,BN2 3QA,50.83769608,-0.12457063,Amberstone Security Ltd,, controlroom@amberstoneguarding.co.uk,44 (0) 845 299 7399 ,,
Midcounties Coop Oxford Road OX5 1DZ,108b Oxford Road Kidlington Oxfordshire,Kidlington,OX5 1DZ,51.81815338,-1.283804178,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Superdry Northampton Grosvenor Shopping Centre NN1 2EB,11 Newland Walk Northampton Northamptonshire,Northampton,NN1 2EB,52.23863602,-0.894366384,Amberstone Security Ltd,,attila.ceko@amberstone.co.uk,,,
Midcounties Coop Longlevens GL2 0JQ,115 Cheltenham Road Gloucester Gloucestershire,Gloucester,GL2 0JQ,51.87356186,-2.212673426,Amberstone Security Ltd,,Robbie.Passmore@amberstone.co.uk,,,
3 Store Torquay 12 Union Street TQ2 5PL,12 Union Street Torquay Devon,Torquay,TQ2 5PL,50.4654541,-3.527842283,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
AMAZON Liverpool L33 7XB,120 Arbour Lane Liverpool Merseyside,Liverpool,L33 7XB,53.48277283,-2.863786936,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
WH Smith Alton GU34 1HZ,13 Westbrook Walk Alton Hampshire,Alton,GU34 1HZ,51.147534,-0.977761,Amberstone Security Ltd,,sofia.lewis@amberstone.co.uk,7483096801,,
Aldi London Road Brighton BN1 4JA,13a London Road Brighton East Sussex,Brighton,BN1 4JA ,50.8303323,-0.1364421,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Next Ipswich Martlesham Heath 667 1 3 Beardmore Park Martlesham Heath Martlesham Ipswich IP5 3RX,15 Beardmore Park Martlesham Heath Ipswich Suffolk,Ipswich,IP5 3RX,52.0642338,1.2768982,Amberstone Security Ltd,,controlroom@amberstone.co.uk,07392 879 847,,
Aldi Ramsgate Hardes Road CT11 7FB,157a Greystoke Avenue Bristol,Bristol,CT11 7FB,51.3387977,1.4221823,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
Aldi Bristol Southmead BS10 6AS,157a Greystoke Avenue Bristol,Bristol,BS10 6AS,51.5032417,-2.6030113,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
Spytty Rd Newport NP19 0TX,187 Cromwell Road Newport Gwent,Newport,NP19 0HT,51.582336,-2.965511,Amberstone Security Ltd,,nichola.burr@amberstone.co.uk,"Spytty Rd, Newport NP19 0TX",,
3 Store Carmarthen Red Street SA31 1QL,19 Red Street Carmarthen Carmarthenshire,Carmarthen,SA31 1QL,51.8567053,-4.3082605,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Weedon Road Northampton NN5 5DE,195 Weedon Road Northampton Northamptonshire,Northampton,NN5 5DE,52.24022293,-0.9271909,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Next Southampton SO15 1BA,2 Harbour Parade Southampton Hampshire,Southampton,SO15 1BA,50.904125,-1.411185,Amberstone Security Ltd,,attila.ceko@amberstone.co.uk,,,
TK Maxx Portsmouth Hampshire PO1 4RP,2 North Street Quadrant Brighton East Sussex,Brighton,PO1 4RP,50.80129623,-1.091705084,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
Superdry Brighton North Street Quadrant BN1 3GJ,2 North Street Quadrant Brighton East Sussex,Brighton,BN1 3GJ,50.82398605,-0.143677473,Amberstone Security Ltd,,david.evans@amberstone.co.uk,,,
SUPERDRY CARDIFF CF10 2ER,2 North Street Quadrant Brighton East Sussex,Brighton,CF10 2ER,51.4806961,-3.1751558,Amberstone Security Ltd,,david.evans@amberstone.co.uk,,,
Aldi Crayford Roman Way DA1 4FY,2 Roman Way Crayford Dartford Kent,Dartford,DA1 4FY,51.45085949,0.177936353,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Bristol Bedminster BS3 1JA,20 26 London Bridge Street London,London,BS3 1JA,51.4415918,-2.6122134,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Bridgend Bridgend Ind Est Bridgend Ind Est CF31 1BZ,20 Brackla Street Bridgend Mid Glamorgan,Bridgend,CF31 1BZ,51.504683,-3.57624,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,,,
Next Cambridge Grafton Centre Cambridge CB1 1PS,22 Grafton Centre Cambridge Cambridgeshire,Cambridge,CB1 1PS,52.20698166,0.133262083,Amberstone Security Ltd,,david.evans@amberstone.co.uk,,,
Matalan Strood Commecial Road 180 ME2 2AD,23 Commercial Road Rochester Kent,Rochester,ME2 2AD,51.39442825,0.493388861,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
PONTYPRIDD CURRY SUPER STORE CF37 4DA,23 Worle Avenue Llanrumney Cardiff South Glamorgan,Cardiff,CF3 4DA,51.51560974,-3.129534721,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
nationwide norfolk 32 st stephens street NR1 3SH,24 St Stephens Street Norwich Norfolk,Norwich,NR1 3SH,52.62524033,1.291615844,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Wilko Rainhan 45 Rainham shopping centre Gillingham ME8 7HW,26 Rainham Shopping Centre Rainham Gillingham Kent,Gillingham,ME8 7HW,51.3641243,0.607881963,Amberstone Security Ltd,,controlroom@amberstone.co.uk,44 (0) 845 299 7399 ,,
Cotswold Outdoor Bristol Unit 2 New Broadmead Union Street Bristol BS1 2DL,2A New Broadmead Union Street Bristol,Bristol,BS1 2DL,51.4572258,-2.591835976,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
3 Store Lowestoft London Rd 73 London Rd N Lowestoft NR32 1LS,3 Store 73 London Road North Lowestoft Suffolk,Lowestoft,NR32 1LS,52.47590484,1.751874419,Amberstone Security Ltd,,controlroom@amberstone.co.uk,7392879847,,
3 Store Pontypridd Taff Street CF37 4SL,3 Store 89 Taff Street Pontypridd Mid Glamorgan,Pontypridd,CF37 4SL,51.60111312,-3.340758832,Amberstone Security Ltd,,controlroom@amberstone.co.uk,01763 258 115,,
Morrisons Tiverton Kennedy Way 338 EX16 6RZ,3 Twyford Units Kennedy Way Tiverton Devon,Tiverton,EX16 6RZ,50.90861492,-3.491576802,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Next Watford Beauty Watford WD17 2AU,304a The Harlequin Watford Hertfordshire,Watford,WD17 2AU,51.6571392,-0.3961515,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Hempstead Valley Dr Hempstead Gillingham ME7 3PD,40 Hempstead Valley Shopping Centre Hempstead Gillingham Kent,Gillingham,ME7 3PD,51.3410705,0.5723612,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Coop midcounties brackley high street NN13 7BW,41 High Street Brackley Northamptonshire,Brackley,NN13 7BW,52.0313197,-1.1445794,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
tesco cleckheaton 2290 49 northgate cleckheaton west yorkshire BD19 3HS,41 Northgate Cleckheaton West Yorkshire,Cleckheaton,BD19 3HS,53.724661,-1.71504,Amberstone Security Ltd,,schedulers@amberstone.co.uk,4.48E+11,,
Aldi Bishops Stortford CM23 5NF,42 London Road Bishops Stortford Hertfordshire,Bishops Stortford,CM23 5NF,51.865786,0.165534,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
JD Sports 52 Broad St Reading RG1 2AA,46B Broad Street Reading Berkshire,Reading,RG1 2AA,51.45587158,-0.973034739,Amberstone Security Ltd,,david.evans@amberstone.co.uk,,,
Halfords Old Kent road Cantium RP SE1 5BA,516 Old Kent Road London,London,SE1 5BA,51.48439789,-0.068445764,Amberstone Security Ltd,,controlroom@amberstone.co.uk,+44 (0) 845 299 7399 ,,
ALDI Tannery Road Industrial Estate High Wycombe HP13 7EQ,6 Tannery Road High Wycombe Buckinghamshire,High Wycombe,HP13 7EQ,51.617933,-0.714449,Amberstone Security Ltd,,control@amberstoneguarding.co.uk,,,
Aldi Bristol Fishponds BS16 3HJ,654 Fishponds Road Fishponds Bristol,Bristol,BS16 3HJ,51.478084,-2.535633,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,7485904375,,
Tesco Goole Boothferry Road 2593 Boothferry Rd Goole Humberside DN14 6BB,69 Boothferry Road Goole Yorkshire,Goole,DN14 6BB,53.705178,-0.876453,Amberstone Security Ltd,,ada.odeadakole@amberstone.co.uk,,,
turbary retail park Units 1A1B 901 905 Ringwood Rd Bournemouth BH11 8LL,889 Ringwood Road Bournemouth Dorset,Bournemouth, BH11 8LL,50.75530232,-1.92776784,Amberstone Security Ltd,,ada.odeadakole@amberstone.co.uk,,,
Aldi Yeovil Sherborne BA21 4HA,94 Sherborne Road Yeovil Somerset,Yeovil,BA21 4HA,50.94230783,-2.624871406,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,,,
Next Bristol Imperial Park BS13 7TJ,A E J Managemnt Ltd Site Office Imperial Park Wills Way Bristol,Bristol,BS13 7TJ,51.416615,-2.602502,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Dunelm Bangor Caernarfon Rd Bangor LL57 4SU,A F Blakemore Son Ltd Caernarfon Road Bangor Gwynedd,Bangor,LL57 4SU,53.21030599,-4.14878279,Amberstone Security Ltd,,david.evans@amberstone.co.uk,,,
Matlan Llaneli SA14 9UY,A R C Carwash Trostre Retail Park Llanelli Carmarthenshire,Llanelli,SA14 9UY,51.675626,-4.139028,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
Dunelm Easlea Rd Bury Saint Edmunds IP32 7BY,A R C O East Anglia Easlea Road Bury St Edmunds Suffolk,Bury St Edmunds,IP32 7BY,52.23954,0.743245,Amberstone Security Ltd,,Matt.Nuza@amberstone.co.uk,,,
Matalan DC Galaxy Liverpool Acornfield Rd Kirkby Liverpool L33 7UF United Kingdom,Acorn Developments Ltd Image Business Park Acornfield Road Knowsley Industrial Park Liverpool Merseyside,Liverpool, L33 7UF,53.4826622,-2.847871304,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,4.48E+11,,
Tesco Aylesford CFC ME20 7PP,Airdropbox Ltd Unit 4 Priory Park Aylesford Kent,Aylesford,ME20 7PP,51.28980404,0.464019662,Amberstone Security Ltd,,attila.ceko@amberstone.co.uk,,,
Aldi Portsmouth 2 Southampton Road PO6 4RJ,ALDI 41 Southampton Road Portsmouth Hampshire,Portsmouth,PO6 4RJ,50.8471159,-1.0953603,Amberstone Security Ltd,,attila.ceko@amberstone.co.uk,,,
Aldi Gillingham ambley raod 32 unit 6 ME8 0PU,Aldi Ambley Road Gillingham Business Park Gillingham Kent,Gillingham,ME8 0PU,51.3685112,0.57713902,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Spalding St Thomas Road 29 PE11 2XY,Aldi Crow Lane Henbury Bristol,Bristol,PE11 2XY,52.785743,-0.15832,Amberstone Security Ltd,,controlroom@amberstone.co.uk,07485 904 367,,
Aldi Bristol Henbury Crow Lane BS10 7EN,Aldi Crow Lane Henbury Bristol,Bristol,BS10 7EN,51.521031,-2.642667,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
Aldi Bretton Flaxland Bretton Peterborough PE3 8DF,Aldi Flaxland Bretton Peterborough Cambridgeshire,Peterborough,PE3 8DF,52.590087,-0.283572,Amberstone Security Ltd,,jerome.francourt@amberstone.co.uk,,,
Dunelm Kettering Stanier Retail Park NN16 9XW,Aldi Food Stores Stanier Retail Park Kettering Northamptonshire,Kettering,NN16 9XW,52.40434878,-0.736593,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Yiewsley High Street UB7 7QN,Aldi Foodstore Ltd 141 High Street Yiewsley West Drayton Greater London,West Drayton,UB7 7QN,51.51447633,-0.474349,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Liverpool st johns lane 24 L1 1LS,Aldi Foodstore Ltd 75 St Johns Precinct Liverpool Merseyside,Liverpool, L1 1LS,53.40662003,-2.980117083,Amberstone Security Ltd,,Control@amberstoneguarding.co.uk,,,
Aldi Bournemouth Holdenhurst Rd BH8 8NT,Aldi Foodstore Ltd Duncan Road Gillingham Kent,Gillingham,BH8 8NT,50.73085785,-1.855789661,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,,,
Aldi Bangor Garth Rd 23 Garth Rd Bangor LL57 2RW,Aldi Foodstore Ltd Garth Road Bangor Gwynedd,Bangor,LL57 2RW,53.229645,-4.12581,Amberstone Security Ltd,,Jennifer.Scalise@amberstone.co.uk,+44 (0) 845 299 7399,,
Aldi Llanelli Swanfield Place 45 Swanfield Place SA15 3PW,Aldi Foodstore Ltd Swanfield Place Llanelli Carmarthenshire,Llanelli,SA15 3PW,51.684267,-4.158243,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,,,
Aldi Cardiff Ely Treseder Way CF5 5NU,Aldi Foodstore Ltd Treseder Way Cardiff South Glamorgan,Cardiff,CF5 5NU,51.47988129,-3.237648964,Amberstone Security Ltd,,nathan.purcell@amberstone.co.uk,,,
Aldi Hemel Hempstead HP3 9AA,Aldi London Road Hemel Hempstead Hertfordshire,Hemel Hempstead,HP3 9AA,51.739268,-0.474232,Amberstone Security Ltd,,controlroom@amberstone.co.uk,01763 258 115,,
Aldi 70 Duncan Road Gillingham ME7 4JS,Aldi Springvale Retail Park Orpington Kent,Orpington, ME7 4JS,51.385952,0.550780892,Amberstone Security Ltd,,james.horne@amberstone.co.uk,,,
Aldi Orpington Unit 5 Sp RP Sevenoaks Way Orpington BR5 3SG,Aldi Springvale Retail Park Orpington Kent,Orpington,BR5 3SG,51.39770876,0.114200106,Amberstone Security Ltd,,Controller@amberstone.co.uk,,,
Aldi Feltham High Street TW13 4DD,Aldi Stores Ltd 76 86 High Street Feltham Greater London,Feltham,TW13 4DD,51.44365627,-0.4120256,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Cardiff City Link Retail Park CF24 1PQ,Aldi Stores Ltd Adamsdown Cardiff South Glamorgan,Cardiff,CF24 1PQ,51.49213791,-3.145792961,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,7483459835,,
Aldi EYE ROAD PE1 4YZ,Aldi Stores Ltd Peterborough Road Peterborough Cambridgeshire,Peterborough,PE1 4YZ,52.6002512,-0.2150753,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
aldi gosport mumby road 55 PO12 1BG,Aldi Stores Mumby Road Gosport Hampshire,Gosport,PO12 1BG,50.79619,-1.121663,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Aldi Basingstoke RG23 8BB,Aldi Stores Winklebury Way Basingstoke Hampshire,Basingstoke,RG23 8BB,51.27275392,-1.113234294,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
Amazon Skewen CWL1 Ffordd Amazon Skewen Swansea SA1 8QX,Amazon Ffordd Amazon Crymlyn Burrows Swansea West Glamorgan,Swansea,SA1 8QX,51.62529755,-3.864313364,Amberstone Security Ltd,,wayne.mackenzie@amberstone.co.uk,7484910434,,
JD Sports Ilford Eastern Avenue IG2 6PF,Amazon Fulfilment Centre Amazon Way Dunfermline East Business Parks Dunfermline Fife,Dunfermline,IG2 6PF,51.5737097,0.0810427,Amberstone Security Ltd,,david.evans@amberstone.co.uk,447483 459 768,,
KY11 8ST,Amazon Fulfilment Centre Amazon Way Dunfermline East Business Parks Dunfermline Fife,Dunfermline,KY11 8ST,56.06365204,-3.389913082,Amberstone Security Ltd,,james.horne@amberstone.co.uk,,,
Cotswold Outdoor Norwich NR2 1RG,Apartment 1 Noverre House Theatre Street Norwich Norfolk,Norwich,NR2 1RG,52.62716524,1.290466155,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Asda Byker Newcastle Shopping Park 4419 Unit 5 Shopping Park Fossway Byker Newcastle NE6 2XP,Arc Car Wash Millers Road Newcastle upon Tyne Tyne and Wear,Newcastle upon Tyne,NE6 2XP,54.97926712,-1.574508667,Amberstone Security Ltd,,tom.adejumo@amberstone.co.uk,7483459936,,
Dunelm Westwood Retail Park Westwood Road Broadstairs CT10 2QU,Argos Ltd Unit 10 Westwood Gateway Margate Road Broadstairs Kent,Broadstairs,CT10 2QU,51.361823,1.393022,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,1763258328,,
Matalan Merthyr Tydfil Swansea Road CF48 1HY,Argos Ltd Unit 4 Cyfarthfa Retail Park Swansea Road Merthyr Tydfil Mid Glamorgan,Merthyr Tydfil,CF48 1HY,51.7489,-3.392056,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Smyths Toys Farnborough GU14 7LT,Asda Cafe Westmead Farnborough Hampshire,Farnborough, GU14 7LT,51.29104,-0.757609,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Unit G Brotherhood Retail Park Peterborough Cambridgeshire PE4 6ZR,Asda Living Unit C Brotherhood Shopping Park Peterborough Cambridgeshire,Peterborough,PE4 6ZR,52.5991478,-0.266208053,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Asda Minworth B76 1XL,Asda Stores Ltd Walmley Ash Road Minworth Sutton Coldfield West Midlands,Sutton Coldfield,B76 1XL,52.53269196,-1.779729009,Amberstone Security Ltd,,lee.hammond@amberstone.co.uk,0) 7483096803,,
Asda Tipton DY4 0BP,Asda Stores Ltd Wednesbury Oak Road Tipton West Midlands,Tipton,DY4 0BP,52.54495621,-2.056432247,Amberstone Security Ltd,,lee.hammond@amberstone.co.uk,0) 7483096803,,
Midcounties Coop Manchester House 336 GL18 1AN,Ayott Antiques 1 High Street Newent Gloucestershire,Newent,GL18 1AN,51.930867,-2.407201,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
JD Sports Leicester Fosse Park Shopping Centre LE19 1HX,B H S Fosse Park Shopping Centre Fosse Park Avenue Leicester Leicestershire,Leicester,LE19 1HX,52.596729,-1.180586,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
JD Sports Brighton 1 Churchill Square BN1 2TA,B H S Unit 9 Churchill Square Brighton East Sussex,Brighton,BN1 2TA,50.823431,-0.145743,Amberstone Security Ltd,,controlroom@amberstoneguarding.co.uk,,,
Matalan Waterloovilee PO7 7UL,B M Recycling Ltd Household Waste Recycling Centre Hambledon Road Waterlooville Hampshire,Waterlooville,PO7 7UL,50.88280106,-1.035890222,Amberstone Security Ltd,,controlroom@amberstone.co.uk,,,
