Client Name,Address,City,Postcode,Contact Name,Contact Email,Contact Phone,Contract Reference,Notes
Grosvenor Security Services,13 Ovington Gardens London,London,SW3 1LE,Naser,naser@grosvenorsecurity.net,,,
Guardian FM,1 Milton Court 85 Hoe Street London,London,E174SA,Sheraz Ali,sheraz@guardianfm.co.uk,,,
Impact Services,13 Waterside Court St Helens Merseyside,St. Helens,WA9 1UA,,operations@impactservices.org.uk,,,
Incentive FM An Atalian Servest Company,Meadlands Social Club Needham Road Stowmarket Suffolk,Stowmarket, IP14 2AD,Jaime Degouveia,jaime.degouveia@incentive-fm.com,,,
Incentive Lynx,"44 Loman St, London SE1 0EH, UK",,SE1 0EH,Eugene Jonas,Eugene.Jonas@incentive-lynx.com,,,
Interr Security,,,,,control@interr.com,,,
Intraguard Limited,1 Mobile Devonshire House 582 Honeypot Lane Stanmore Greater London,Stanmore,HA7 1JS,,control@intraguard.co.uk,,,
INTRASECURE,,Romford,,Patrik,patrick@intrasecure.co.uk,,,
ISS World,2012SecurityLtd50SeymourStreetLondon,London,x,,securitycomcen@uk.issworld.com,,,
JTR,,Exeter,,,JMirko@jtrltd.co.uk,,,
Key Holding,KH Chichester TE Chapet Street West Sussex Chichester PO19 1AD,Chichester,PO19 1AD,,platform@keyholding.com,,,
Korexian LTD,7 Felixstowe Court London,London,E16 2RR,,korexian2019@gmail.com,,,
kssnwltdcouk,14 Marsden Street Westhoughton Bolton Lancashire,Bolton,BL5 3AQ ,,floyd@kssnwltd.co.uk,,,
Lingwood Security,Lingwood Security Management Ltd 6 Penrod Way Heysham Morecambe Lancashire,Morecambe,LA3 2UZ,,summer@lingwoodsecurity.com,,,
Lodge Service,11 Gosditch Street Cirencester Gloucestershire,Cirencester,GL7 2AG,,gwootton@lodgeservice.com,,,
Luton Estate,53 Hibbert Street Luton Bedfordshire,Luton,LU1 3UU,Suhail,Suhail@poplarestate.co.uk,,,
Magnit GRI,,,,,KANRecruitment@uk.issworld.com,,,
Main,Main,Main,Main 1,,Main 1,,,
MAN Commercial Protection,Advest Capital Management Ltd 2 Highlands Court Shirley Solihull West Midlands,Solihull,B90 4LE,Scott broadway,scott.broadway@mancommercialprotection.co.uk,,,
Maxi Power,10 Shackleton Way London,London,E16 2GX,,support@maxipower.net,,,
Maxipower Security FMG,313a High Road Romford Essex,Romford,RM6 6AX,,support@maxipower.net,,,
mitie services and security,1 Duchess Road Rutherglen Glasgow,London,G73 1AU,,"controllers@mitie.com,csm@mitie.com",,,
MK9 Security Services,12 Abbey Road Barking Essex,Barking,IG11 7BZ,,helpdesk@mk9services.com,,,
MPW Security,56 Langley Park Road Iver Buckinghamshire,Iver,SL0 9QS,Lucy,lucy@mpwsecuritysolutions.co.uk,,,
National Health Service UK,Southmead Hospital,Bristol,BS10 5NB,Andy Smith,Andy.Smith@nbt.nhs.uk,,,
nexus security,2 Barton Close Enderby Leicester Leicestershire,Leicester,LE19 1SJ,,customer.service@nexussecurity.info,,,
nexussecurity,2 Barton Close Enderby Leicester Leicestershire,Leicester,LE19 1SJ,Lee Brown,customer.service@nexussecurity.info,,,
Nine Arches,"2 Union Street, Northampton, Northamptonshire, NN1 2EW",NORTHAMTON,NN1 2EW,Sean Pennington,sean.pennington@ninearches.co.uk,,,
O Neil & Brennan,88 Darkes Lane Potters Bar Hertfordshire,Potters Bar,EN6 1AG ,Gabriel Greenspan,g.greenspan@oandb.co.uk,,,
Oak Security Services,10 Uphall Road Ilford Essex,Ilford,IG1 2JF,Kamran,Kamran@OakSecurityServices.co.uk,,,
OCS Security,,,,Mark Shenton,control.team@ocs.com,,,
Omni Security,1 Avro Court Ermine Business Park Huntingdon Cambridgeshire,Huntingdon,PE29 6XS,,operations@omnisecurity.co.uk,,,
OSS,,,,,helpdesk@ossmanagedservices.com,,,
Paratus Limited,Guildford College Worplesdon Guildford Surrey,Guildford,GU3 3PE,,ed@paratus.org.uk,,,
Pavilion Venue Ltd,Markhouse Walthamstow,Walthamstow,E17 9PX,,,,,
PHOENIX SECURITY,i2 OFFICE 4TH FLOOR 78 Cannon Street  LONDON EC4N 6HL,,,,,,,
Prime Secure,65 Townsend Street Glasgow,Glasgow,G4 0LA,,iain.warburton@prime-secure.co.uk,,,
Purple Bricks,1 Cranmore Drive Shirley Solihull West Midlands,Solihull,B90 4RZ ,Omer Durrani,omer.durrani@purplebricks.com,,,
Red Support Services,247 Main Road Sidcup Kent,Sidcup,DA14 6QS,Kola,Kola@redsupportservices.com,,,
RSS,Jobcentre Plus Crown Buildings Laneham Street Scunthorpe Lincolnshire,Scunthorpe,DN15 6JT   ,Richard Short,richardshort@rssecurityservices.co.uk,,,
SB Security Solutions Ltd,Action Pump Unit 5 Aysgarth Road Waterlooville Hampshire,Waterlooville,PO7 7UG,Steve Langley,steve.langley@sbsecuritysolutions.co.uk,,,
Secure Vision,,,,,,,,
SecuriGroup,25 North Row Mayfair London, London,W1K 6DJ,Mark Munro,mark.munro@securigroup.co.uk,,,
Securitas UK,,,WC1B 5EH,,communications.centre@securitas.uk.com,,,
Security And Event Solutions,"59 North Street, Brighton BN41 1DH",,BN41 1DH,,office@securityandeventsolutions.co.uk,,,
SEECLEAR SERVICES GROUP LIMITED,Turners Bicker Bar Farm Bicker Boston Lincolnshire , Boston,PE20 3AN,Mark Edgley,MarkEdgley@seecleargroup.co.uk,,,
Servo Group,11 Capital House 454 Larkshall Road London,London,E4 9HH,Andy Haynes,andy.haynes@servo-group.co.uk,,,
Servoca Secure Solutions,21 Romford Road London,London,E15 4LJ,James Goodwin,james.goodwin@servoca.com,,,
SES,,,,,,,,
Showsec,,,,,,,,
SSG UK,1 Milton Court 85 Hoe Street London,London,E17 4SA,Hafiz Tahir,"hafiz.tahir@ssgukltd.com,control@ssgukltd.com",,,
SSGC,19 Red Street Carmarthen Carmarthenshire,Carmarthen,SA31 1QL,Julie Hulme,Julie.hulme@ssgc-net.com,,,
STM Security,,,,,booking@stmgroupltd.com,,,
Sue Kim,Flat 1 1 Manciple Street London,London,SE1 4AP,,suecheetham@mac.com,,,
SWL Security,,,,,,,,
TARIQ,,,,,,,,
TNP Ltd,1 Hargham Road Shropham Attleborough Norfolk,Attleborough,NR17 1DS,Sheila Grist,sheila.grist@tnpltd.com,,,
Traditional Norfolk Poultry Ltd,Acorn Developments Ltd Image Business Park Acornfield Road Knowsley Industrial Park Liverpool Merseyside,Liverpool,L33 7UF,Sheila Grist,sheila.grist@tnpltd.com,,,
TSS,TSS Total Security Services Ltd The Curve 18 Hickman Avenue London,London,E4 9JG,Martin Leeder,Martin.Leeder@totalsecurity.co.uk,,,
Tutelar Security,B B A S Ltd Unit 9a Basepoint Enterprise Centre Stroudley Road Basingstoke Hampshire,Basingstoke,RG24 8UP,Paul,paul@tutelarsecurity.co.uk,,,
UK FORCE,20 Newington Causeway London,London,SE16DR,,ukforce@gmail.com,,,
UK PROTECTION LTD,A & O Acquisitions Ltd 34 South Molton Street London,London,W1K 5RG,,control@ukprotectionltd.co.uk,,,
Unrivalled SS Ltd,14 High Street Leicester Leicestershire,Leicester,LE1 4FQ,,sales@unrivalledsecurity.co.uk,,,
WARD SECURITY,River Rochester and Strood,Rochester and Strood,ME4 4TZ,,control@ward-security.co.uk,,,
zeglobal,Aircraft Restoration Co Building 425 Duxford Airfield Duxford Cambridge Cambridgeshire,Cambridge,CB22 4QR,J. van der merwe,jvandermerwe@zeglobal.com,,,
