seq,invoice_number,company_name,period_start,period_end,total_amount,inv_status
254,SBI-GUA-202107-0254,UK FORCE SERVICES LIMITED,2021-07-01,2021-07-31,21600.00,paid
258,SBI-GUA-202108-0258,AAAS SECURITY COMPANY LTD,2021-08-01,2021-08-31,12186.23,paid
259,SBI-GUA-202108-0259,FIRST4FREELANCERS LIMITED,2021-08-01,2021-08-31,119748.24,paid
260,SBI-GUA-202108-0260,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-08-01,2021-08-31,737851.74,paid
261,SBI-GUA-202108-0261,SILICON MANAGEMENT CONSULTANTS LTD,2021-08-01,2021-08-31,15006.80,paid
262,SBI-GUA-202108-0262,UK FORCE SERVICES LIMITED,2021-08-01,2021-08-31,22800.00,paid
266,SBI-GUA-202109-0266,AAAS SECURITY COMPANY LTD,2021-09-01,2021-09-30,16041.77,paid
267,SBI-GUA-202109-0267,FIRST4FREELANCERS LIMITED,2021-09-01,2021-09-30,130878.56,paid
268,SBI-GUA-202109-0268,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-09-01,2021-09-30,736956.40,paid
269,SBI-GUA-202109-0269,SILICON MANAGEMENT CONSULTANTS LTD,2021-09-01,2021-09-30,1200.00,paid
270,SBI-GUA-202109-0270,UK FORCE SERVICES LIMITED,2021-09-01,2021-09-30,22000.00,paid
274,SBI-GUA-202110-0274,FIRST4FREELANCERS LIMITED,2021-10-01,2021-10-31,126239.16,paid
275,SBI-GUA-202110-0275,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-10-01,2021-10-31,496553.23,paid
276,SBI-GUA-202110-0276,UK FORCE SERVICES LIMITED,2021-10-01,2021-10-31,2408.63,paid
280,SBI-GUA-202111-0280,FIRST4FREELANCERS LIMITED,2021-11-01,2021-11-30,161002.90,paid
281,SBI-GUA-202111-0281,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-11-01,2021-11-30,505998.09,paid
282,SBI-GUA-202111-0282,UK FORCE SERVICES LIMITED,2021-11-01,2021-11-30,5969.00,paid
286,SBI-GUA-202112-0286,FIRST4FREELANCERS LIMITED,2021-12-01,2021-12-31,65129.57,paid
287,SBI-GUA-202112-0287,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2021-12-01,2021-12-31,401176.09,paid
288,SBI-GUA-202112-0288,UK FORCE SERVICES LIMITED,2021-12-01,2021-12-31,2013.60,paid
292,SBI-GUA-202201-0292,FIRST4FREELANCERS LIMITED,2022-01-01,2022-01-31,85987.14,paid
293,SBI-GUA-202201-0293,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2022-01-01,2022-01-31,270882.55,paid
294,SBI-GUA-202201-0294,RKFM LTD,2022-01-01,2022-01-31,10800.00,paid
295,SBI-GUA-202201-0295,UK FORCE SERVICES LIMITED,2022-01-01,2022-01-31,964.80,paid
299,SBI-GUA-202202-0299,A2Z SECURITY SERVICES LTD.,2022-02-01,2022-02-28,1543.00,paid
300,SBI-GUA-202202-0300,FIRST4FREELANCERS LIMITED,2022-02-01,2022-02-28,154792.45,paid
301,SBI-GUA-202202-0301,RKFM LTD,2022-02-01,2022-02-28,12278.00,paid
302,SBI-GUA-202202-0302,SECURE FIRST FM LTD,2022-02-01,2022-02-28,5400.00,paid
303,SBI-GUA-202202-0303,SECURITY ZONE MIDLANDS LIMITED,2022-02-01,2022-02-28,16378.96,paid
304,SBI-GUA-202202-0304,UK FORCE SERVICES LIMITED,2022-02-01,2022-02-28,1492.85,paid
308,SBI-GUA-202203-0308,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-03-01,2022-03-31,2907.00,paid
309,SBI-GUA-202203-0309,FIRST4FREELANCERS LIMITED,2022-03-01,2022-03-31,99305.72,paid
310,SBI-GUA-202203-0310,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2022-03-01,2022-03-31,1800.56,paid
311,SBI-GUA-202203-0311,RKFM LTD,2022-03-01,2022-03-31,12000.00,paid
312,SBI-GUA-202203-0312,SECURE FIRST FM LTD,2022-03-01,2022-03-31,9363.75,paid
313,SBI-GUA-202203-0313,SECURITY ZONE MIDLANDS LIMITED,2022-03-01,2022-03-31,23009.98,paid
314,SBI-GUA-202203-0314,SILICON MANAGEMENT CONSULTANTS LTD,2022-03-01,2022-03-31,4358.90,paid
318,SBI-GUA-202204-0318,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-04-01,2022-04-30,12712.39,paid
319,SBI-GUA-202204-0319,DELTA FORCE GROUP LTD,2022-04-01,2022-04-30,13109.94,paid
320,SBI-GUA-202204-0320,FIRST4FREELANCERS LIMITED,2022-04-01,2022-04-30,68234.15,paid
321,SBI-GUA-202204-0321,RADLEIGH SECURITY & FM LIMITED,2022-04-01,2022-04-30,8517.96,approved
322,SBI-GUA-202204-0322,RIA SECURITY LTD,2022-04-01,2022-04-30,15450.91,paid
323,SBI-GUA-202204-0323,RKFM LTD,2022-04-01,2022-04-30,12000.00,paid
324,SBI-GUA-202204-0324,SECURE FIRST FM LTD,2022-04-01,2022-04-30,13669.20,paid
325,SBI-GUA-202204-0325,SECURITY ZONE MIDLANDS LIMITED,2022-04-01,2022-04-30,15968.44,paid
326,SBI-GUA-202204-0326,SILICON MANAGEMENT CONSULTANTS LTD,2022-04-01,2022-04-30,9505.50,paid
330,SBI-GUA-202205-0330,DELTA FORCE GROUP LTD,2022-05-01,2022-05-31,20000.00,paid
331,SBI-GUA-202205-0331,FIRST4FREELANCERS LIMITED,2022-05-01,2022-05-31,62568.50,paid
332,SBI-GUA-202205-0332,RIA SECURITY LTD,2022-05-01,2022-05-31,1512.00,paid
333,SBI-GUA-202205-0333,RKFM LTD,2022-05-01,2022-05-31,5000.00,paid
334,SBI-GUA-202205-0334,SECURE FIRST FM LTD,2022-05-01,2022-05-31,13735.00,paid
335,SBI-GUA-202205-0335,SECURITY ZONE MIDLANDS LIMITED,2022-05-01,2022-05-31,16122.60,paid
339,SBI-GUA-202206-0339,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-06-01,2022-06-30,15457.20,paid
340,SBI-GUA-202206-0340,FIRST4FREELANCERS LIMITED,2022-06-01,2022-06-30,54324.29,paid
341,SBI-GUA-202206-0341,RIA SECURITY LTD,2022-06-01,2022-06-30,122.40,paid
342,SBI-GUA-202206-0342,RKFM LTD,2022-06-01,2022-06-30,11749.82,paid
343,SBI-GUA-202206-0343,SECURE FIRST FM LTD,2022-06-01,2022-06-30,15437.96,paid
344,SBI-GUA-202206-0344,SECURITY ZONE MIDLANDS LIMITED,2022-06-01,2022-06-30,12052.00,paid
345,SBI-GUA-202206-0345,UK FORCE SERVICES LIMITED,2022-06-01,2022-06-30,7000.00,paid
349,SBI-GUA-202207-0349,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-07-01,2022-07-31,5212.80,paid
350,SBI-GUA-202207-0350,FIRST4FREELANCERS LIMITED,2022-07-01,2022-07-31,42112.08,paid
351,SBI-GUA-202207-0351,RKFM LTD,2022-07-01,2022-07-31,6977.00,paid
352,SBI-GUA-202207-0352,SECURE FIRST FM LTD,2022-07-01,2022-07-31,10767.30,paid
353,SBI-GUA-202207-0353,SECURITY ZONE MIDLANDS LIMITED,2022-07-01,2022-07-31,34373.00,paid
354,SBI-GUA-202207-0354,XTREME PROFESSIONAL CLEANING LTD,2022-07-01,2022-07-31,4897.07,paid
358,SBI-GUA-202208-0358,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-08-01,2022-08-31,10361.00,paid
359,SBI-GUA-202208-0359,FIRST ALLIED FACILITIES LTD,2022-08-01,2022-08-31,5256.00,paid
360,SBI-GUA-202208-0360,FIRST4FREELANCERS LIMITED,2022-08-01,2022-08-31,46046.30,paid
361,SBI-GUA-202208-0361,IMPAX SECURITY SERVICES LTD,2022-08-01,2022-08-31,21075.31,paid
362,SBI-GUA-202208-0362,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2022-08-01,2022-08-31,950.00,paid
363,SBI-GUA-202208-0363,RKFM LTD,2022-08-01,2022-08-31,10308.29,paid
364,SBI-GUA-202208-0364,SECURE FIRST FM LTD,2022-08-01,2022-08-31,15030.30,paid
365,SBI-GUA-202208-0365,SECURITY ZONE MIDLANDS LIMITED,2022-08-01,2022-08-31,54772.27,paid
366,SBI-GUA-202208-0366,XTREME PROFESSIONAL CLEANING LTD,2022-08-01,2022-08-31,5002.80,paid
370,SBI-GUA-202209-0370,AAGUARD LTD,2022-09-01,2022-09-30,5380.20,paid
371,SBI-GUA-202209-0371,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-09-01,2022-09-30,11286.00,paid
372,SBI-GUA-202209-0372,DELTA FORCE GROUP LTD,2022-09-01,2022-09-30,43146.96,paid
373,SBI-GUA-202209-0373,FIRST ALLIED FACILITIES LTD,2022-09-01,2022-09-30,2790.00,paid
374,SBI-GUA-202209-0374,FIRST4FREELANCERS LIMITED,2022-09-01,2022-09-30,19986.86,paid
375,SBI-GUA-202209-0375,RKFM LTD,2022-09-01,2022-09-30,11525.10,paid
376,SBI-GUA-202209-0376,SECURE FIRST FM LTD,2022-09-01,2022-09-30,19406.34,paid
377,SBI-GUA-202209-0377,XTREME PROFESSIONAL CLEANING LTD,2022-09-01,2022-09-30,84994.54,paid
381,SBI-GUA-202210-0381,AAGUARD LTD,2022-10-01,2022-10-31,6503.04,paid
382,SBI-GUA-202210-0382,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-10-01,2022-10-31,12217.44,paid
383,SBI-GUA-202210-0383,COMPLIANCE SECURITY SERVICES LTD,2022-10-01,2022-10-31,29408.41,paid
384,SBI-GUA-202210-0384,FIRST ALLIED FACILITIES LTD,2022-10-01,2022-10-31,2945.00,paid
385,SBI-GUA-202210-0385,FIRST4FREELANCERS LIMITED,2022-10-01,2022-10-31,21085.14,paid
386,SBI-GUA-202210-0386,IMPAX SECURITY SERVICES LTD,2022-10-01,2022-10-31,6229.02,paid
387,SBI-GUA-202210-0387,RADLEIGH SECURITY & FM LIMITED,2022-10-01,2022-10-31,8991.71,approved
388,SBI-GUA-202210-0388,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,2022-10-01,2022-10-31,1000.00,paid
389,SBI-GUA-202210-0389,RKFM LTD,2022-10-01,2022-10-31,28271.50,paid
390,SBI-GUA-202210-0390,SECURE FIRST FM LTD,2022-10-01,2022-10-31,20652.00,paid
391,SBI-GUA-202210-0391,SECURITY ZONE MIDLANDS LIMITED,2022-10-01,2022-10-31,17431.34,paid
392,SBI-GUA-202210-0392,UK FORCE SERVICES LIMITED,2022-10-01,2022-10-31,1400.00,paid
396,SBI-GUA-202211-0396,AAGUARD LTD,2022-11-01,2022-11-30,9788.57,paid
397,SBI-GUA-202211-0397,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-11-01,2022-11-30,26093.15,paid
398,SBI-GUA-202211-0398,FIRST ALLIED FACILITIES LTD,2022-11-01,2022-11-30,2945.00,paid
399,SBI-GUA-202211-0399,FIRST CHOICE FM LTD,2022-11-01,2022-11-30,2364.00,paid
400,SBI-GUA-202211-0400,FIRST4FREELANCERS LIMITED,2022-11-01,2022-11-30,16223.88,paid
401,SBI-GUA-202211-0401,RADLEIGH SECURITY & FM LIMITED,2022-11-01,2022-11-30,43032.53,approved
402,SBI-GUA-202211-0402,RKFM LTD,2022-11-01,2022-11-30,41923.28,paid
403,SBI-GUA-202211-0403,SECURE FIRST FM LTD,2022-11-01,2022-11-30,17607.75,paid
404,SBI-GUA-202211-0404,SECURITY ZONE MIDLANDS LIMITED,2022-11-01,2022-11-30,13344.19,paid
408,SBI-GUA-202212-0408,ALLIANCE FACILITIES MANAGEMENT LIMITED,2022-12-01,2022-12-31,25551.00,paid
409,SBI-GUA-202212-0409,CAPITAL PROTECTIONS LTD,2022-12-01,2022-12-31,811.70,paid
410,SBI-GUA-202212-0410,COMPLIANCE SECURITY SERVICES LTD,2022-12-01,2022-12-31,47243.95,paid
411,SBI-GUA-202212-0411,DELTA FORCE GROUP LTD,2022-12-01,2022-12-31,11348.28,paid
412,SBI-GUA-202212-0412,DPM SECURITY MANAGEMENT LTD,2022-12-01,2022-12-31,24000.00,paid
413,SBI-GUA-202212-0413,FIRST ALLIED FACILITIES LTD,2022-12-01,2022-12-31,2762.50,paid
414,SBI-GUA-202212-0414,FIRST4FREELANCERS LIMITED,2022-12-01,2022-12-31,25047.05,paid
415,SBI-GUA-202212-0415,IMPAX SECURITY SERVICES LTD,2022-12-01,2022-12-31,11319.26,paid
416,SBI-GUA-202212-0416,MAN GUARD SECURITY SERVICES LTD,2022-12-01,2022-12-31,1140.00,paid
417,SBI-GUA-202212-0417,RADLEIGH SECURITY & FM LIMITED,2022-12-01,2022-12-31,50191.28,approved
418,SBI-GUA-202212-0418,RKFM LTD,2022-12-01,2022-12-31,18275.71,paid
419,SBI-GUA-202212-0419,SECURE FIRST FM LTD,2022-12-01,2022-12-31,15548.83,paid
420,SBI-GUA-202212-0420,SECURITY ZONE MIDLANDS LIMITED,2022-12-01,2022-12-31,16144.80,paid
424,SBI-GUA-202301-0424,ALLIANCE FACILITIES MANAGEMENT LIMITED,2023-01-01,2023-01-31,26244.20,paid
425,SBI-GUA-202301-0425,CAPITAL PROTECTIONS LTD,2023-01-01,2023-01-31,3915.00,paid
426,SBI-GUA-202301-0426,FIRST ALLIED FACILITIES LTD,2023-01-01,2023-01-31,3260.50,paid
427,SBI-GUA-202301-0427,FIRST CHOICE FM LTD,2023-01-01,2023-01-31,11751.81,paid
428,SBI-GUA-202301-0428,FIRST4FREELANCERS LIMITED,2023-01-01,2023-01-31,25737.22,paid
429,SBI-GUA-202301-0429,IMPAX SECURITY SERVICES LTD,2023-01-01,2023-01-31,1195.66,paid
430,SBI-GUA-202301-0430,RADLEIGH SECURITY & FM LIMITED,2023-01-01,2023-01-31,32439.79,approved
431,SBI-GUA-202301-0431,REFINE SECURITY SERVICES LTD,2023-01-01,2023-01-31,2662.20,paid
432,SBI-GUA-202301-0432,RKFM LTD,2023-01-01,2023-01-31,13755.82,paid
433,SBI-GUA-202301-0433,SECURE FIRST FM LTD,2023-01-01,2023-01-31,9092.93,paid
434,SBI-GUA-202301-0434,XTREME PROFESSIONAL CLEANING LTD,2023-01-01,2023-01-31,60495.47,paid
438,SBI-GUA-202302-0438,AAGUARD LTD,2023-02-01,2023-02-28,8372.95,paid
439,SBI-GUA-202302-0439,ALLIANCE FACILITIES MANAGEMENT LIMITED,2023-02-01,2023-02-28,55563.16,paid
440,SBI-GUA-202302-0440,CAPITAL PROTECTIONS LTD,2023-02-01,2023-02-28,108.00,paid
441,SBI-GUA-202302-0441,FIRST ALLIED FACILITIES LTD,2023-02-01,2023-02-28,2470.00,paid
442,SBI-GUA-202302-0442,FIRST CHOICE FM LTD,2023-02-01,2023-02-28,3528.78,paid
443,SBI-GUA-202302-0443,FIRST4FREELANCERS LIMITED,2023-02-01,2023-02-28,19349.14,paid
444,SBI-GUA-202302-0444,MAN GUARD SECURITY SERVICES LTD,2023-02-01,2023-02-28,587.95,paid
445,SBI-GUA-202302-0445,RADLEIGH SECURITY & FM LIMITED,2023-02-01,2023-02-28,38072.63,approved
446,SBI-GUA-202302-0446,REFINE SECURITY SERVICES LTD,2023-02-01,2023-02-28,3770.00,paid
447,SBI-GUA-202302-0447,RIA SECURITY LTD,2023-02-01,2023-02-28,408.10,paid
448,SBI-GUA-202302-0448,RKFM LTD,2023-02-01,2023-02-28,9606.40,paid
449,SBI-GUA-202302-0449,SECURE FIRST FM LTD,2023-02-01,2023-02-28,9446.40,paid
450,SBI-GUA-202302-0450,SECURITY ZONE MIDLANDS LIMITED,2023-02-01,2023-02-28,25290.72,paid
451,SBI-GUA-202302-0451,XTREME PROFESSIONAL CLEANING LTD,2023-02-01,2023-02-28,48496.67,paid
455,SBI-GUA-202303-0455,AAGUARD LTD,2023-03-01,2023-03-31,5319.60,paid
456,SBI-GUA-202303-0456,ALLIANCE FACILITIES MANAGEMENT LIMITED,2023-03-01,2023-03-31,29433.95,paid
457,SBI-GUA-202303-0457,CAPITAL PROTECTIONS LTD,2023-03-01,2023-03-31,1622.82,paid
458,SBI-GUA-202303-0458,FIRST ALLIED FACILITIES LTD,2023-03-01,2023-03-31,2945.00,paid
459,SBI-GUA-202303-0459,FIRST CHOICE FM LTD,2023-03-01,2023-03-31,2461.70,paid
460,SBI-GUA-202303-0460,FIRST4FREELANCERS LIMITED,2023-03-01,2023-03-31,30052.87,paid
461,SBI-GUA-202303-0461,MOXIE SECURITY LTD,2023-03-01,2023-03-31,5909.39,paid
462,SBI-GUA-202303-0462,RADLEIGH SECURITY & FM LIMITED,2023-03-01,2023-03-31,42280.39,approved
463,SBI-GUA-202303-0463,REFINE SECURITY SERVICES LTD,2023-03-01,2023-03-31,5439.00,paid
464,SBI-GUA-202303-0464,RIA SECURITY LTD,2023-03-01,2023-03-31,5525.42,paid
465,SBI-GUA-202303-0465,RKFM LTD,2023-03-01,2023-03-31,5171.75,paid
466,SBI-GUA-202303-0466,SECURE FIRST FM LTD,2023-03-01,2023-03-31,8067.50,paid
467,SBI-GUA-202303-0467,SECURITY ZONE MIDLANDS LIMITED,2023-03-01,2023-03-31,17943.55,paid
468,SBI-GUA-202303-0468,XTREME PROFESSIONAL CLEANING LTD,2023-03-01,2023-03-31,60799.07,paid
472,SBI-GUA-202305-0472,RADLEIGH SECURITY & FM LIMITED,2023-05-01,2023-05-31,15283.09,approved
476,SBI-GUA-202306-0476,RADLEIGH SECURITY & FM LIMITED,2023-06-01,2023-06-30,9210.43,approved
480,SBI-GUA-202307-0480,RADLEIGH SECURITY & FM LIMITED,2023-07-01,2023-07-31,8220.96,approved
484,SBI-GUA-202308-0484,RADLEIGH SECURITY & FM LIMITED,2023-08-01,2023-08-31,6991.25,approved
488,SBI-GUA-202309-0488,RADLEIGH SECURITY & FM LIMITED,2023-09-01,2023-09-30,4109.95,approved
492,SBI-GUA-202311-0492,RADLEIGH SECURITY & FM LIMITED,2023-11-01,2023-11-30,11228.05,approved
